,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15,Biology,English,Math
106,North Carolina,East Wake School of Engineering,5101 ROLESVILLE ROAD,WENDELL,27591,1,0,0,1,4-Eligible for Title I SWP provides no program,35.813366,-78.425000,9th Grade,12th Grade,1,1,1,1,372,372,27.8,51.5,27.7
107,North Carolina,East Wake School of Health Science,5101 ROLESVILLE ROAD,WENDELL,27591,1,0,0,1,4-Eligible for Title I SWP provides no program,35.813631,-78.424914,9th Grade,12th Grade,1,1,1,1,371,371,37.9,61.9,41.8
108,North Carolina,East Wake School of Integrated Technolog,5101 ROLESVILLE ROAD,WENDELL,27591,1,0,0,1,4-Eligible for Title I SWP provides no program,35.813429,-78.424832,9th Grade,12th Grade,1,1,1,1,325,325,42.5,51.3,27.5
109,North Carolina,East Wilkes High,13315 ELKIN HWY 268,RONDA,28670,1,0,0,0,6-Not eligible for either TAS or SWP,36.226446,-80.927589,9th Grade,12th Grade,1,1,1,1,548,548,44.6,55.5,37.4
110,North Carolina,Eastern Wayne High,1135 NEW HOPE ROAD,GOLDSBORO,27534,1,0,0,1,4-Eligible for Title I SWP provides no program,35.377732,-77.880540,9th Grade,12th Grade,1,1,1,1,1051,1051,50.6,46.7,33.1
111,North Carolina,Edgecombe Early College High,2009 WEST WILSON ST,TARBORO,27886,1,0,0,0,6-Not eligible for either TAS or SWP,35.879440,-77.572250,9th Grade,13th Grade,1,1,1,1,154,125,94.3,93.9,82.8
112,North Carolina,Emsley A Laney High,2700 N COLLEGE RD,WILMINGTON,28405,1,0,0,1,1-Eligible for Title I TAS provides no program,34.298668,-77.872454,9th Grade,12th Grade,1,1,1,1,2141,2131,56.3,62.4,55.9
113,North Carolina,Enka High,475 ENKA LAKE ROAD,CANDLER,28715,1,0,0,1,4-Eligible for Title I SWP provides no program,35.529711,-82.665806,9th Grade,12th Grade,1,1,1,1,1237,1237,59.4,58.9,41.7
114,North Carolina,Erwin High,60 LEES CREEK ROAD,ASHEVILLE,28806,1,0,0,1,4-Eligible for Title I SWP provides no program,35.619534,-82.626405,9th Grade,12th Grade,1,1,1,1,1328,1328,48.8,47.5,42.0
115,North Carolina,Eugene Ashley High,555 HALYBURTON MEMORIAL PARKWY,WILMINGTON,28412,1,0,0,1,4-Eligible for Title I SWP provides no program,34.100150,-77.911351,9th Grade,12th Grade,1,1,1,1,1874,1873,57.5,63.0,56.4
116,North Carolina,Fairmont High,5419 OLD STAGE ROAD,FAIRMONT,28340,1,0,0,1,4-Eligible for Title I SWP provides no program,34.472385,-79.101855,9th Grade,12th Grade,1,1,1,1,744,744,36.3,35.6,28.5
117,North Carolina,Farmville Central High,3308 E WILSON STREET,FARMVILLE,27828,1,0,0,1,4-Eligible for Title I SWP provides no program,35.593868,-77.568892,9th Grade,12th Grade,1,1,1,1,786,786,40.7,44.0,33.7
118,North Carolina,Fike High,500 HARRISON DR N,WILSON,27893,1,0,0,1,4-Eligible for Title I SWP provides no program,35.752893,-77.922225,9th Grade,12th Grade,1,1,1,1,1310,1310,47.8,52.3,46.1
119,North Carolina,First Flight High School,100 VETERANS DRIVE,KILL DEVIL HILLS,27948,1,0,0,0,6-Not eligible for either TAS or SWP,36.008836,-75.666492,9th Grade,12th Grade,1,1,1,1,807,807,65.7,78.6,64.3
120,North Carolina,Flemington Academy,400FLEMINGTON DR.,LAKE WACCAMAW,28450,1,0,1,1,5-Eligible for Title I SWP provides SWP program,34.320714,-78.524991,6th Grade,12th Grade,1,1,1,1,74,48,5.0,36.8,21.7
121,North Carolina,Forest Hills High,100 FOREST HILLS SCHOOL RD,MARSHVILLE,28103,1,0,0,1,4-Eligible for Title I SWP provides no program,34.979287,-80.413314,9th Grade,12th Grade,1,1,1,1,937,937,35.7,52.5,43.1
122,North Carolina,Forestview High,5545 UNION ROAD,GASTONIA,28056,1,0,0,0,6-Not eligible for either TAS or SWP,35.183439,-81.135602,9th Grade,12th Grade,1,1,1,1,1143,1143,51.7,59.1,56.3
123,North Carolina,Franklin Academy,1127 CHALKS RD,WAKE FOREST,27587,1,0,1,0,6-Not eligible for either TAS or SWP,35.955650,-78.487311,Kindergarten,12th Grade,1,1,1,1,1639,488,75.4,91.4,82.2
124,North Carolina,Franklin County Early College,8150 NC HIGHWAY 56,LOUISBURG,27549,1,0,0,0,6-Not eligible for either TAS or SWP,36.086177,-78.330658,9th Grade,13th Grade,1,1,1,1,172,151,56.4,81.6,46.0
125,North Carolina,Franklin High,100 PANTHER DRIVE,FRANKLIN,28734,1,0,0,1,4-Eligible for Title I SWP provides no program,35.176551,-83.382383,9th Grade,12th Grade,1,1,1,1,931,931,40.1,51.7,55.7
126,North Carolina,Franklinton High,910 CEDAR CREEK ROAD,FRANKLINTON,27525,1,0,0,0,6-Not eligible for either TAS or SWP,36.069620,-78.436031,9th Grade,12th Grade,1,1,1,1,1008,1008,38.8,51.9,53.0
127,North Carolina,Fred T Foard High,3407 PLATEAU ROAD,NEWTON,28658,1,0,0,1,1-Eligible for Title I TAS provides no program,35.617507,-81.371066,9th Grade,12th Grade,1,1,1,1,1025,1025,57.8,63.1,61.6
128,North Carolina,Freedom High,511 INDEPENDENCE BOULEVARD,MORGANTON,28655,1,0,0,1,4-Eligible for Title I SWP provides no program,35.745194,-81.720672,9th Grade,12th Grade,1,1,1,1,1178,1178,58.3,62.4,54.7
129,North Carolina,Fuquay-Varina High,201 BENGAL BLVD,FUQUAY-VARINA,27526,1,0,0,0,6-Not eligible for either TAS or SWP,35.597889,-78.797234,9th Grade,12th Grade,1,1,1,1,2117,2117,59.1,69.6,65.7
130,North Carolina,Garinger High,1100 EASTWAY DR,CHARLOTTE,28205,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.241104,-80.782811,9th Grade,12th Grade,1,1,1,1,1748,1748,37.3,35.0,19.0
131,North Carolina,Garner High,2101 SPRING DR,GARNER,27529,1,1,0,1,4-Eligible for Title I SWP provides no program,35.710798,-78.635160,9th Grade,12th Grade,1,1,1,1,2650,2650,49.8,62.3,52.6
132,North Carolina,Gaston College Preparatory,320 PLEASANT HILL ROAD,GASTON,27832,1,0,1,1,5-Eligible for Title I SWP provides SWP program,36.504587,-77.639204,Kindergarten,12th Grade,1,1,1,1,1046,332,85.4,94.3,63.9
133,North Carolina,Gaston Early College High School,GASTON COLLEGE LENA SUE BEAM B,DALLAS,28034,1,0,0,1,4-Eligible for Title I SWP provides no program,35.311484,-81.189418,9th Grade,13th Grade,1,1,1,1,170,154,84.4,93.6,87.8
134,North Carolina,Gates County Senior High,"=""088 HWY 158 WEST""",GATESVILLE,27938,1,0,0,1,4-Eligible for Title I SWP provides no program,36.447458,-76.704504,9th Grade,12th Grade,1,1,1,1,539,539,57.1,62.4,49.2
135,North Carolina,Goldsboro High,901 E BEECH STREET,GOLDSBORO,27530,1,0,0,1,4-Eligible for Title I SWP provides no program,35.386752,-77.979992,9th Grade,12th Grade,1,1,1,1,545,545,16.7,25.2,13.5
136,North Carolina,Granville Central High,2043 SANDERS RD,STEM,27581,1,0,0,1,4-Eligible for Title I SWP provides no program,36.207623,-78.687185,9th Grade,12th Grade,1,1,1,1,569,569,41.4,38.1,34.3
137,North Carolina,Granville Early College High,1552 SOUTH CAMPUS DR,CREEDMOOR,27522,1,0,0,1,4-Eligible for Title I SWP provides no program,36.141700,-78.721306,9th Grade,13th Grade,1,1,1,1,218,200,88.9,88.4,69.5
138,North Carolina,Granville Magnet School,204 TAYLOR ST,OXFORD,27565,1,1,0,1,4-Eligible for Title I SWP provides no program,36.315140,-78.587491,6th Grade,10th Grade,0,0,1,1,171,78,44.1,63.5,14.3
139,North Carolina,Gray Stone Day,49464 MERNER TERRACE,MISENHEIMER,28109,1,0,1,0,6-Not eligible for either TAS or SWP,35.483510,-80.276340,9th Grade,12th Grade,1,1,1,1,411,411,92.5,91.0,95.0
140,North Carolina,Green Hope High,2500 CARPENTER UPCHURCH ROAD,CARY,27519,1,0,0,0,6-Not eligible for either TAS or SWP,35.804992,-78.867007,9th Grade,12th Grade,1,1,1,1,2380,2380,84.3,90.3,88.0
141,North Carolina,Greene Central High,140 SCHOOL DRIVE,SNOW HILL,28580,1,0,0,1,4-Eligible for Title I SWP provides no program,35.479919,-77.670315,9th Grade,12th Grade,1,1,1,1,900,900,26.1,32.8,31.2
142,North Carolina,Greene Early College High,818 HIGHWAY 91,SNOW HILL,28580,1,0,0,1,4-Eligible for Title I SWP provides no program,35.475863,-77.670521,9th Grade,13th Grade,1,1,1,1,157,135,79.4,82.4,69.4
143,North Carolina,Haliwa-Saponi Tribal School,130 HALIWA-SAPONI TRAIL,HOLLISTER,27844,1,0,1,1,5-Eligible for Title I SWP provides SWP program,36.251895,-77.981367,Kindergarten,12th Grade,1,1,1,1,192,61,22.2,83.3,42.9
144,North Carolina,Harding University High,2001 ALLEGHANY ST,CHARLOTTE,28208,1,1,0,1,5-Eligible for Title I SWP provides SWP program,35.236952,-80.902359,9th Grade,12th Grade,1,1,1,1,1747,1747,21.2,37.7,18.6
145,North Carolina,Harnett Central High,2911 HARNETT CENTRAL RD,ANGIER,27501,1,0,0,1,4-Eligible for Title I SWP provides no program,35.463493,-78.779910,9th Grade,12th Grade,1,1,1,1,1541,1541,56.2,55.5,46.5
146,North Carolina,Havelock High,101 WEBB BOULEVARD,HAVELOCK,28532,1,0,0,1,4-Eligible for Title I SWP provides no program,34.880481,-76.893569,9th Grade,12th Grade,1,1,1,1,1119,1119,43.3,57.4,58.4
147,North Carolina,Hawthorne High,2300 W SUGAR CREEK RD,CHARLOTTE,28262,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.295070,-80.795681,6th Grade,12th Grade,1,1,1,1,135,133,65.6,51.5,52.6
148,North Carolina,Hayesville High,205 YELLOW JACKET DRIVE,HAYESVILLE,28904,1,0,0,1,4-Eligible for Title I SWP provides no program,35.040513,-83.813602,9th Grade,12th Grade,1,1,1,1,383,383,57.5,64.0,46.4
149,North Carolina,Haywood Early College,185 FREEDLANDER DRIVE,CLYDE,28721,1,0,0,1,4-Eligible for Title I SWP provides no program,35.526397,-82.927756,9th Grade,13th Grade,1,1,1,1,156,142,67.6,88.6,87.8
150,North Carolina,Heide Trask High,14328 NC HWY 210,ROCKY POINT,28457,1,0,0,1,4-Eligible for Title I SWP provides no program,34.437792,-77.892530,9th Grade,12th Grade,1,1,1,1,685,685,38.8,43.4,53.1
151,North Carolina,Henderson County Early College,120 ALUMNI WAY,FLAT ROCK,28731,1,0,0,1,4-Eligible for Title I SWP provides no program,35.307269,-82.422577,9th Grade,13th Grade,1,1,1,1,202,165,93.8,95.0,95.0
152,North Carolina,Hendersonville High,1 BEARCAT BOULEVARD,HENDERSONVILLE,28791,1,0,0,1,1-Eligible for Title I TAS provides no program,35.321409,-82.464217,9th Grade,12th Grade,1,1,1,1,770,770,80.7,79.3,63.5
153,North Carolina,Heritage High,1150 FORESTVILLE ROAD,WAKE FOREST,27587,1,0,0,0,6-Not eligible for either TAS or SWP,35.940140,-78.511001,9th Grade,12th Grade,1,1,1,1,1910,1910,60.2,69.5,68.3
154,North Carolina,Hertford Co Early College,109 COMMUNITY COLLEGE RD,AHOSKIE,27910,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.323840,-77.019391,9th Grade,13th Grade,1,1,1,1,127,111,70.0,67.5,62.5
155,North Carolina,Hertford County High,1500 W FIRST ST,AHOSKIE,27910,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.296584,-76.998176,9th Grade,12th Grade,1,1,1,1,703,703,39.4,32.3,13.4
156,North Carolina,Hibriten High,1350 PANTHER TRAIL SE,LENOIR,28645,1,0,0,1,4-Eligible for Title I SWP provides no program,35.925510,-81.493751,9th Grade,12th Grade,1,1,1,1,824,823,43.8,58.0,43.7
157,North Carolina,Hickory High,1234 3RD STREET NE,HICKORY,28601,1,0,0,1,4-Eligible for Title I SWP provides no program,35.749647,-81.331794,9th Grade,12th Grade,1,1,1,1,1018,1018,48.1,62.9,45.5
158,North Carolina,Hickory Ridge High,7321 RAGING RIDGE ROAD,HARRISBURG,28075,1,0,0,0,6-Not eligible for either TAS or SWP,35.307787,-80.634948,9th Grade,12th Grade,1,1,1,1,1573,1573,76.3,79.1,69.5
159,North Carolina,Highland Sch of Technology,1600 N MORRIS STREET,GASTONIA,28052,1,1,0,0,6-Not eligible for either TAS or SWP,35.280405,-81.190733,9th Grade,12th Grade,1,1,1,1,555,555,87.8,93.6,95.0
160,North Carolina,Highlands School,545 PIERSON DR,HIGHLANDS,28741,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.046853,-83.196938,Kindergarten,12th Grade,1,1,1,1,351,121,83.3,71.4,87.5
161,North Carolina,Hillside High,3727 FAYETTEVILLE ST,DURHAM,27707,1,0,0,1,4-Eligible for Title I SWP provides no program,35.953277,-78.903598,9th Grade,12th Grade,1,1,1,1,1318,1318,33.1,44.0,41.8
162,North Carolina,Hillside New Tech High,3727 FAYETTEVILLE ST,DURHAM,27707,1,0,0,1,4-Eligible for Title I SWP provides no program,35.953277,-78.903598,9th Grade,12th Grade,1,1,1,1,273,273,41.3,56.8,35.4
163,North Carolina,Hiwassee Dam High,267 BLUE EAGLE CIRCLE,MURPHY,28906,1,0,0,1,4-Eligible for Title I SWP provides no program,35.103859,-84.223650,9th Grade,12th Grade,1,1,1,1,203,203,36.5,63.0,34.4
164,North Carolina,Hobbton High,12201 HOBBTON HWY,NEWTON GROVE,28366,1,0,0,1,4-Eligible for Title I SWP provides no program,35.177810,-78.328370,9th Grade,12th Grade,1,1,1,1,557,557,55.0,54.4,51.5
165,North Carolina,Hoke County High,505 S BETHEL ROAD,RAEFORD,28376,1,0,0,1,4-Eligible for Title I SWP provides no program,34.972957,-79.234343,9th Grade,12th Grade,1,1,1,1,1972,1972,43.4,44.6,49.1
166,North Carolina,Holly Springs High,5329 CASS HOLT ROAD,HOLLY SPRINGS,27540,1,0,0,0,6-Not eligible for either TAS or SWP,35.628900,-78.848821,9th Grade,12th Grade,1,1,1,1,2418,2418,75.2,78.0,73.4
167,North Carolina,Hopewell High,11530 BEATTIES FORD RD,HUNTERSVILLE,28078,1,0,0,1,4-Eligible for Title I SWP provides no program,35.378392,-80.911004,9th Grade,12th Grade,1,1,1,1,1653,1653,46.4,57.2,41.0
168,North Carolina,Howard Health & Life Sciences,1608 CAMDEN RD,FAYETTEVILLE,28306,1,0,0,1,4-Eligible for Title I SWP provides no program,35.029680,-78.898221,9th Grade,12th Grade,1,1,1,1,164,150,91.4,78.3,86.0
169,North Carolina,Hunter Huss High,1518 EDGEFIELD AVENUE,GASTONIA,28052,1,0,0,1,4-Eligible for Title I SWP provides no program,35.240637,-81.206875,9th Grade,12th Grade,1,1,1,1,1148,1148,23.4,39.4,24.9
170,North Carolina,Independence High,1967 PATRIOT DR,CHARLOTTE,28227,1,0,0,1,4-Eligible for Title I SWP provides no program,35.197168,-80.687432,9th Grade,12th Grade,1,1,1,1,2349,2349,66.0,63.4,68.3
171,North Carolina,Invest Collegiate - Imagine,1000 BREVARD ROAD STE. 175,ASHEVILLE,28806,1,0,1,0,6-Not eligible for either TAS or SWP,35.525000,-82.606561,Kindergarten,10th Grade,0,0,1,1,342,22,45.5,78.6,50.0
172,North Carolina,Isaac M Bear High,630 MACMILLAN AVENUE,WILMINGTON,28403,1,0,0,1,4-Eligible for Title I SWP provides no program,34.217190,-77.880005,9th Grade,12th Grade,1,1,1,1,231,231,94.6,93.4,94.6
173,North Carolina,J D Clement Early College HS,1801 FAYETTEVILLE STREET,DURHAM,27707,1,0,0,1,4-Eligible for Title I SWP provides no program,35.974670,-78.898051,9th Grade,12th Grade,1,1,1,1,352,352,85.6,88.2,89.0
174,North Carolina,J. F. Webb High,3200 WEBB SCHOOL RD,OXFORD,27565,1,0,0,1,4-Eligible for Title I SWP provides no program,36.343600,-78.604437,9th Grade,12th Grade,1,1,1,1,615,615,20.3,38.7,29.5
175,North Carolina,Jack Britt High,7403 ROCKFISH ROAD,FAYETTEVILLE,28306,1,0,0,0,6-Not eligible for either TAS or SWP,34.977498,-79.011098,9th Grade,12th Grade,1,1,1,1,1941,1941,84.1,83.4,76.4
176,North Carolina,Jackson Co Early College,404 COLLEGE DRIVE,SYLVA,28779,1,0,0,1,4-Eligible for Title I SWP provides no program,35.347264,-83.204440,9th Grade,13th Grade,1,1,1,1,145,132,72.0,95.0,81.3
177,North Carolina,Jacksonville High,1021 HENDERSON DR,JACKSONVILLE,28540,1,0,0,1,1-Eligible for Title I TAS provides no program,34.783917,-77.427045,9th Grade,12th Grade,1,1,1,1,1218,1218,55.6,59.6,48.9
178,North Carolina,James Hunt High,4559 LAMM RD,WILSON,27893,1,0,0,0,6-Not eligible for either TAS or SWP,35.722528,-77.998967,9th Grade,12th Grade,1,1,1,1,1375,1375,35.7,53.7,41.1
179,North Carolina,James Kenan High,1241 NC 24 & 50,WARSAW,28398,1,0,0,1,4-Eligible for Title I SWP provides no program,34.984522,-78.043144,9th Grade,12th Grade,1,1,1,1,728,728,25.7,34.3,29.7
180,North Carolina,Jay M Robinson High,300 PITTS SCHOOL ROAD SW,CONCORD,28027,1,0,0,1,4-Eligible for Title I SWP provides no program,35.362979,-80.661366,9th Grade,12th Grade,1,1,1,1,1339,1339,55.4,53.8,50.3
181,North Carolina,JF Webb HS Of Health And Life Sciences,3200 WEBB SCHOOL RD,OXFORD,27565,1,0,0,0,6-Not eligible for either TAS or SWP,36.337910,-78.597163,9th Grade,12th Grade,1,1,1,1,304,304,64.6,76.2,49.4
182,North Carolina,Jimmy C Draughn High School,709 LOVELADY ROAD NE,VALDESE,28690,1,0,0,1,4-Eligible for Title I SWP provides no program,35.767070,-81.544041,9th Grade,12th Grade,1,1,1,1,722,722,68.0,63.3,64.0
183,North Carolina,John A Holmes High,600 WOODARD STREET,EDENTON,27932,1,0,0,1,4-Eligible for Title I SWP provides no program,36.066548,-76.604733,9th Grade,12th Grade,1,1,1,1,659,659,42.7,45.7,32.2
184,North Carolina,John T Hoggard High,4305 SHIPYARD BLVD,WILMINGTON,28403,1,0,0,0,6-Not eligible for either TAS or SWP,34.199614,-77.892867,9th Grade,12th Grade,1,1,1,1,1786,1785,62.6,76.8,68.8
185,North Carolina,Johnston Co Early College Academy,235 COLLEGE RD,SMITHFIELD,27520,1,0,0,0,6-Not eligible for either TAS or SWP,35.504134,-78.330645,9th Grade,13th Grade,1,1,1,1,244,202,92.6,91.1,89.3
186,North Carolina,Jones Senior High,1490 HWY 58 SOUTH,TRENTON,28585,1,0,0,1,4-Eligible for Title I SWP provides no program,35.054220,-77.482360,9th Grade,12th Grade,1,1,1,1,333,332,53.3,57.5,47.6
187,North Carolina,Jordan Matthews High,910 EAST CARDINAL STREET,SILER CITY,27344,1,0,0,1,4-Eligible for Title I SWP provides no program,35.723900,-79.452430,9th Grade,12th Grade,1,1,1,1,765,765,47.6,51.4,40.5
188,North Carolina,Junius H Rose High,600 W ARLINGTON BLVD,GREENVILLE,27834,1,0,0,1,4-Eligible for Title I SWP provides no program,35.593934,-77.384236,9th Grade,12th Grade,1,1,1,1,1440,1440,45.9,48.3,46.3
189,North Carolina,Kennedy Charter,1717 SHARON ROAD WEST,CHARLOTTE,28210,1,0,1,1,5-Eligible for Title I SWP provides SWP program,35.118634,-80.873461,Kindergarten,12th Grade,1,1,1,1,375,135,14.3,19.5,5.4
190,North Carolina,Kestrel Heights School,4700 S ALSTON AVE,DURHAM,27713,1,0,1,0,6-Not eligible for either TAS or SWP,35.898310,-78.890451,Kindergarten,12th Grade,1,1,1,1,1015,312,52.4,64.5,44.8
191,North Carolina,Kings Mountain High,500 PHIFER ROAD,KINGS MOUNTAIN,28086,1,0,0,1,4-Eligible for Title I SWP provides no program,35.234417,-81.369876,9th Grade,12th Grade,1,1,1,1,1272,1272,68.2,66.8,59.8
192,North Carolina,Kinston High,2601 N QUEEN ST,KINSTON,28501,1,0,0,1,4-Eligible for Title I SWP provides no program,35.295853,-77.575265,9th Grade,12th Grade,1,1,1,1,854,854,17.8,29.9,15.5
193,North Carolina,Knightdale High,100 BRYAN CHALK LANE,KNIGHTDALE,27545,1,0,0,1,4-Eligible for Title I SWP provides no program,35.810850,-78.476188,9th Grade,12th Grade,1,1,1,1,1672,1672,31.5,45.4,34.8
194,North Carolina,Lake Lure Classical Academy,2520 MEMORIAL HIGHWAY,LAKE LURE,28746,1,0,1,1,4-Eligible for Title I SWP provides no program,35.430690,-82.222451,Kindergarten,11th Grade,0,1,1,1,372,101,64.1,79.4,38.9
195,North Carolina,Lake Norman Charter,12435 OLD STATESVILLE ROAD,HUNTERSVILLE,28078,1,0,1,0,6-Not eligible for either TAS or SWP,35.388475,-80.834755,5th Grade,12th Grade,1,1,1,1,1600,802,89.5,93.4,85.9
196,North Carolina,Lake Norman High,186 DOOLIE ROAD,MOORESVILLE,28117,1,0,0,0,6-Not eligible for either TAS or SWP,35.598270,-80.903811,9th Grade,12th Grade,1,1,1,1,1865,1865,66.7,75.1,72.2
197,North Carolina,Lakewood High,245 LAKEWOOD SCHOOL RD,SALEMBURG,28385,1,0,0,1,4-Eligible for Title I SWP provides no program,34.990911,-78.501924,9th Grade,12th Grade,1,1,1,1,516,516,43.7,35.9,48.2
198,North Carolina,Lee County High,1708 NASH STREET,SANFORD,27330,1,0,0,1,4-Eligible for Title I SWP provides no program,35.467494,-79.148203,9th Grade,12th Grade,1,1,1,1,1493,1493,25.9,42.5,39.8
199,North Carolina,Lee Early College,1105 KELLY DRIVE,SANFORD,27330,1,0,0,1,4-Eligible for Title I SWP provides no program,35.471218,-79.143900,9th Grade,13th Grade,1,1,1,1,288,253,44.1,58.6,76.9
200,North Carolina,Leesville Road High,8410 PRIDE WAY,RALEIGH,27613,1,0,0,0,6-Not eligible for either TAS or SWP,35.890123,-78.717862,9th Grade,12th Grade,1,1,1,1,2281,2281,70.6,75.9,80.6
201,North Carolina,Lenoir County Early College High,231 HWY 58 SOUTH,KINSTON,28502,1,0,0,0,6-Not eligible for either TAS or SWP,35.221912,-77.576093,9th Grade,13th Grade,1,1,1,1,200,177,64.9,75.8,69.1
202,North Carolina,Lincoln Charter School,7834 GALWAY LANE,DENVER,28037,1,0,1,0,6-Not eligible for either TAS or SWP,35.485880,-80.998131,Kindergarten,12th Grade,1,1,1,1,1790,522,71.8,86.2,75.5
203,North Carolina,Lincolnton High,803 N ASPEN ST,LINCOLNTON,28092,1,0,0,1,4-Eligible for Title I SWP provides no program,35.479470,-81.260091,9th Grade,12th Grade,1,1,1,1,887,887,48.8,55.6,37.1
204,North Carolina,Longleaf School of the Arts,207 EAST HARGETT ST,RALEIGH,27601,1,0,1,0,6-Not eligible for either TAS or SWP,35.778550,-78.635371,9th Grade,11th Grade,0,1,1,1,221,221,73.0,90.9,68.9
205,North Carolina,Louisburg High,201 ALLEN LANE,LOUISBURG,27549,1,0,0,1,4-Eligible for Title I SWP provides no program,36.111110,-78.299340,9th Grade,12th Grade,1,1,1,1,553,553,39.9,46.2,31.3
206,North Carolina,Lumberton Senior High,3901 FAYETTEVILLE RD,LUMBERTON,28358,1,0,0,1,4-Eligible for Title I SWP provides no program,34.646905,-78.998779,9th Grade,12th Grade,1,1,1,1,2108,2108,38.4,39.0,34.2
207,North Carolina,Madison Early College High,800 BAILEY STREET,MARS HILL,28754,1,0,0,1,4-Eligible for Title I SWP provides no program,35.835640,-82.552361,9th Grade,13th Grade,1,1,1,1,213,196,91.1,82.7,87.3
208,North Carolina,Madison High,5740 US HWY 25-70,MARSHALL,28753,1,0,0,1,4-Eligible for Title I SWP provides no program,35.815182,-82.673437,9th Grade,12th Grade,1,1,1,1,645,645,64.6,55.1,37.2
209,North Carolina,Maiden High,600 WEST MAIN STREET,MAIDEN,28650,1,0,0,1,4-Eligible for Title I SWP provides no program,35.580720,-81.226541,9th Grade,12th Grade,1,1,1,1,877,877,57.2,63.6,58.6
210,North Carolina,Mallard Creek High,3825 JOHNSTON OEHLER RD,CHARLOTTE,28269,1,0,0,1,4-Eligible for Title I SWP provides no program,35.363720,-80.769041,9th Grade,12th Grade,1,1,1,1,2472,2472,59.2,72.4,53.9
211,North Carolina,Manteo High School,829 WINGINA AVENUE,MANTEO,27954,1,0,0,1,4-Eligible for Title I SWP provides no program,35.916730,-75.673531,9th Grade,12th Grade,1,1,1,1,466,466,50.0,64.5,74.3
212,North Carolina,Marvin Ridge High,2825 CRANE ROAD,WAXHAW,28173,1,0,0,0,6-Not eligible for either TAS or SWP,34.973992,-80.795871,9th Grade,12th Grade,1,1,1,1,1573,1573,87.0,92.9,92.8
213,North Carolina,Massey Hill Classical High,1062 SOUTHERN AVENUE,FAYETTEVILLE,28306,1,0,0,0,6-Not eligible for either TAS or SWP,35.031037,-78.895077,9th Grade,12th Grade,1,1,1,1,341,341,75.6,74.5,73.0
214,North Carolina,Mattamuskeet Early College High,20392 HWY US 264,SWAN QUARTER,27885,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.441381,-76.218225,6th Grade,13th Grade,1,1,1,1,231,115,13.3,33.3,48.3
