,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15,Biology,English,Math
323,North Carolina,Rowan Co Early College,1333 JAKE ALEXANDER BLVD S,SALISBURY,28146,1,0,0,1,4-Eligible for Title I SWP provides no program,35.641639,-80.477842,9th Grade,12th Grade,1,1,1,1,225,225,60.7,75.0,75.0
324,North Carolina,Roxboro Community School,115 LAKE DRIVE,ROXBORO,27573,1,0,1,1,5-Eligible for Title I SWP provides SWP program,36.392617,-78.979302,6th Grade,12th Grade,1,1,1,1,704,378,87.3,87.8,80.5
325,North Carolina,Rutherford Early College High School,286 ICC LOOP ROAD,SPINDALE,28160,1,0,0,1,4-Eligible for Title I SWP provides no program,35.358180,-81.924970,9th Grade,13th Grade,1,1,1,1,169,169,90.9,86.5,75.5
326,North Carolina,S Granville HS Of Health Life Sciences,701 N CRESCENT DR,CREEDMOOR,27522,1,0,0,0,6-Not eligible for either TAS or SWP,36.123129,-78.674614,9th Grade,12th Grade,1,1,1,1,455,455,50.4,53.7,24.6
327,North Carolina,S Granville HS of Integ Tech & Lead,701 N CRESCENT DR,CREEDMOOR,27522,1,0,0,0,6-Not eligible for either TAS or SWP,36.122887,-78.674378,9th Grade,12th Grade,1,1,1,1,462,462,38.8,39.1,25.0
328,North Carolina,Saint Pauls High,648 NORTH STAGE RD,SAINT PAULS,28384,1,0,0,1,4-Eligible for Title I SWP provides no program,34.812200,-78.977300,9th Grade,12th Grade,1,1,1,1,957,957,40.0,40.9,39.1
329,North Carolina,Saint Stephens High,3205 34TH STREET DRIVE NE,HICKORY,28601,1,0,0,1,4-Eligible for Title I SWP provides no program,35.772116,-81.269091,9th Grade,12th Grade,1,1,1,1,1257,1257,53.8,67.6,53.8
330,North Carolina,Salisbury High,500 LINCOLNTON RD,SALISBURY,28144,1,0,0,1,4-Eligible for Title I SWP provides no program,35.664761,-80.484917,9th Grade,12th Grade,1,1,1,1,813,813,33.3,41.2,29.0
331,North Carolina,Sampson Early College High,1801 SUNSET AVE,CLINTON,28329,1,0,0,1,4-Eligible for Title I SWP provides no program,34.990867,-78.358889,9th Grade,13th Grade,1,1,1,1,246,211,68.9,56.7,75.8
332,North Carolina,Sanderson High,5500 DIXON DRIVE,RALEIGH,27609,1,0,0,0,6-Not eligible for either TAS or SWP,35.861057,-78.647282,9th Grade,12th Grade,1,1,1,1,2002,2002,63.2,65.3,51.1
333,North Carolina,SandHoke Early College High,1110 EAST CENTRAL AVENUE,RAEFORD,28376,1,0,0,1,4-Eligible for Title I SWP provides no program,34.976560,-79.205471,9th Grade,13th Grade,1,1,1,1,318,306,61.5,77.5,60.8
334,North Carolina,School of Inquiry and Life Sciences,419 MCDOWELL STREET,ASHEVILLE,28803,1,0,0,0,6-Not eligible for either TAS or SWP,35.572668,-82.552301,9th Grade,12th Grade,1,1,1,1,299,299,85.0,94.3,68.9
335,North Carolina,Scotland Early College High,1700 DOGWOOD MILE,LAURINBURG,28352,1,0,0,1,4-Eligible for Title I SWP provides no program,34.743680,-79.480121,9th Grade,13th Grade,1,1,1,1,217,192,91.7,84.1,88.6
336,North Carolina,Scotland High School,1000 WEST CHURCH STREET,LAURINBURG,28352,1,0,0,1,4-Eligible for Title I SWP provides no program,34.778916,-79.477410,9th Grade,12th Grade,1,1,1,1,1581,1581,38.4,39.6,55.2
337,North Carolina,Seventy-First High,6764 RAEFORD ROAD,FAYETTEVILLE,28304,1,0,0,1,4-Eligible for Title I SWP provides no program,35.039171,-79.005464,9th Grade,12th Grade,1,1,1,1,1635,1635,37.3,44.5,32.0
338,North Carolina,Shelby High,230 E DIXON BOULEVARD,SHELBY,28152,1,0,0,1,4-Eligible for Title I SWP provides no program,35.274469,-81.538391,9th Grade,12th Grade,1,1,1,1,829,829,38.8,58.3,44.2
339,North Carolina,Smithfield-Selma High,700 BOOKER DAIRY RD,SMITHFIELD,27577,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.529436,-78.323643,9th Grade,12th Grade,1,1,1,1,1249,1249,34.1,42.1,38.2
340,North Carolina,Smoky Mountain High,100 SMOKY MOUNTAIN DRIVE,SYLVA,28779,1,0,0,1,4-Eligible for Title I SWP provides no program,35.353092,-83.198370,9th Grade,12th Grade,1,1,1,1,839,839,55.0,53.8,57.5
341,North Carolina,South Brunswick High,280 COUGAR DRIVE BSL,SOUTHPORT,28461,1,0,0,1,4-Eligible for Title I SWP provides no program,34.011259,-78.042734,9th Grade,12th Grade,1,1,1,1,1098,1098,65.5,56.6,58.6
342,North Carolina,South Caldwell High,7035 SPARTAN DRIVE,HUDSON,28638,1,0,0,1,1-Eligible for Title I TAS provides no program,35.821653,-81.450794,9th Grade,12th Grade,1,1,1,1,1618,1618,50.3,56.0,56.9
343,North Carolina,South Central High,570 W FORLINES ROAD,WINTERVILLE,28590,1,0,0,1,4-Eligible for Title I SWP provides no program,35.541100,-77.428590,9th Grade,12th Grade,1,1,1,1,1628,1628,53.8,49.9,38.7
344,North Carolina,South Columbus High,40 STALLION DRIVE,TABOR CITY,28463,1,0,0,1,4-Eligible for Title I SWP provides no program,34.173200,-78.814931,9th Grade,12th Grade,1,1,1,1,785,785,49.7,48.2,35.2
345,North Carolina,South Creek High,21077 NC HWY 903,ROBERSONVILLE,27871,1,0,0,1,1-Eligible for Title I TAS provides no program,35.856714,-77.243489,9th Grade,12th Grade,1,1,1,1,323,323,48.8,51.5,50.6
346,North Carolina,South Iredell High,299 OLD MOUNTAIN RD,STATESVILLE,28677,1,0,0,0,6-Not eligible for either TAS or SWP,35.717305,-80.909988,9th Grade,12th Grade,1,1,1,1,1505,1505,69.9,68.8,76.1
347,North Carolina,South Johnston High,10381 US HWY 301 S,FOUR OAKS,27524,1,0,0,1,4-Eligible for Title I SWP provides no program,35.410114,-78.500830,9th Grade,12th Grade,1,1,1,1,1200,1200,59.3,53.2,44.4
348,North Carolina,South Lenoir High,3355 OLD HWY 11 SOUTH,DEEP RUN,28525,1,0,0,0,6-Not eligible for either TAS or SWP,35.145746,-77.704343,9th Grade,12th Grade,1,1,1,1,789,789,49.5,55.6,29.5
349,North Carolina,South Mecklenburg High,8900 PARK RD,CHARLOTTE,28210,1,0,0,1,4-Eligible for Title I SWP provides no program,35.109355,-80.860978,9th Grade,12th Grade,1,1,1,1,2913,2913,72.7,75.5,64.4
350,North Carolina,South Point High,906 SOUTH POINT ROAD,BELMONT,28012,1,0,0,0,6-Not eligible for either TAS or SWP,35.222923,-81.038678,9th Grade,12th Grade,1,1,1,1,1101,1101,65.1,74.8,56.7
351,North Carolina,South Robeson High,3268 SOUTH ROBESON RD,ROWLAND,28383,1,0,0,1,4-Eligible for Title I SWP provides no program,34.545870,-79.242850,9th Grade,12th Grade,1,1,1,1,484,484,41.9,28.6,17.0
352,North Carolina,South Rowan High,1655 PATTERSON ST,CHINA GROVE,28023,1,0,0,1,4-Eligible for Title I SWP provides no program,35.573137,-80.609972,9th Grade,12th Grade,1,1,1,1,970,970,33.1,51.7,27.2
353,North Carolina,South Stanly High,40488 S STANLY SCHOOL RD,NORWOOD,28128,1,0,0,1,4-Eligible for Title I SWP provides no program,35.230980,-80.163951,9th Grade,12th Grade,1,1,1,1,429,429,47.3,54.5,61.2
354,North Carolina,South View High,4184 ELK ROAD,HOPE MILLS,28348,1,0,0,1,4-Eligible for Title I SWP provides no program,34.978088,-78.926605,9th Grade,12th Grade,1,1,1,1,1782,1782,38.9,56.3,37.6
355,North Carolina,Southeast Halifax High,16683 HWY 125,HALIFAX,27839,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.219311,-77.550876,9th Grade,12th Grade,1,1,1,1,336,336,31.3,26.0,21.3
356,North Carolina,Southeast Raleigh High,2600 ROCK QUARRY ROAD,RALEIGH,27610,1,1,0,1,4-Eligible for Title I SWP provides no program,35.745629,-78.604002,9th Grade,12th Grade,1,1,1,1,1538,1538,51.3,47.7,40.6
357,North Carolina,Southern Lee High School,2301 TRAMWAY ROAD,SANFORD,27332,1,0,0,1,4-Eligible for Title I SWP provides no program,35.434888,-79.185529,9th Grade,12th Grade,1,1,1,1,1179,1179,41.1,40.7,39.4
358,North Carolina,Southern Nash High,6446 SOUTHERN NASH HIGH ROAD,BAILEY,27807,1,0,0,1,4-Eligible for Title I SWP provides no program,35.851079,-78.087413,9th Grade,12th Grade,1,1,1,1,1189,1189,38.6,41.9,30.7
359,North Carolina,Southern School of Energy and Sustainabi,800 CLAYTON ROAD,DURHAM,27703,1,0,0,1,4-Eligible for Title I SWP provides no program,35.999879,-78.829051,9th Grade,12th Grade,1,1,1,1,1292,1292,19.0,24.8,27.2
360,North Carolina,Southern Vance High,925 GARRETT ROAD,HENDERSON,27537,1,0,0,1,4-Eligible for Title I SWP provides no program,36.303335,-78.374364,9th Grade,12th Grade,1,1,1,1,834,834,29.9,25.6,26.2
361,North Carolina,Southern Wake Academy,5108 OLD POWELL RD,HOLLY SPRINGS,27540,1,0,1,0,6-Not eligible for either TAS or SWP,35.612770,-78.819191,6th Grade,12th Grade,1,1,1,1,306,178,78.6,78.0,67.9
362,North Carolina,Southern Wayne High,124 WALTER FULCHER RD,DUDLEY,28333,1,0,0,1,4-Eligible for Title I SWP provides no program,35.253639,-78.045238,9th Grade,12th Grade,1,1,1,1,1120,1120,28.4,36.1,26.8
363,North Carolina,Southside High,5700 HWY 33 EAST,CHOCOWINITY,27817,1,0,0,1,4-Eligible for Title I SWP provides no program,35.446222,-77.057229,9th Grade,12th Grade,1,1,1,1,444,444,33.0,41.7,49.7
364,North Carolina,SouthWest Edgecombe High,5912 NC 43 NORTH,PINETOPS,27864,1,0,0,1,4-Eligible for Title I SWP provides no program,35.839930,-77.661290,9th Grade,12th Grade,1,1,1,1,847,847,33.2,47.3,24.2
365,North Carolina,Southwest High,1420 BURGAW HWY,JACKSONVILLE,28540,1,0,0,1,4-Eligible for Title I SWP provides no program,34.749220,-77.481951,9th Grade,12th Grade,1,1,1,1,664,664,58.5,52.5,47.2
366,North Carolina,Spring Creek High,4340 INDIAN SPRINGS ROAD,SEVEN SPRINGS,28578,1,0,0,1,4-Eligible for Title I SWP provides no program,35.226763,-77.897801,6th Grade,12th Grade,1,1,1,1,1038,597,49.7,46.2,37.3
367,North Carolina,Stanly Early College High,141 COLLEGE DRIVE,ALBEMARLE,28001,1,0,0,1,4-Eligible for Title I SWP provides no program,35.336450,-80.233681,9th Grade,13th Grade,1,1,1,1,204,163,65.3,83.0,68.6
368,North Carolina,Statesville High,474 N CENTER ST,STATESVILLE,28677,1,0,0,1,4-Eligible for Title I SWP provides no program,35.792659,-80.892019,9th Grade,12th Grade,1,1,1,1,1029,1029,19.9,35.9,32.3
369,North Carolina,Stuart W Cramer High,101 LAKEWOOD RD,BELMONT,28012,1,0,0,1,4-Eligible for Title I SWP provides no program,35.246520,-81.063191,9th Grade,12th Grade,1,1,1,1,782,782,62.8,61.4,48.5
370,North Carolina,Sun Valley High,5211 OLD CHARLOTTE HWY,MONROE,28110,1,0,0,1,1-Eligible for Title I TAS provides no program,35.046059,-80.644768,9th Grade,12th Grade,1,1,1,1,1306,1306,59.3,77.0,65.7
371,North Carolina,Swansboro High,161 QUEENS CREEK RD,SWANSBORO,28584,1,0,0,0,6-Not eligible for either TAS or SWP,34.698222,-77.154440,9th Grade,12th Grade,1,1,1,1,1067,1067,64.2,65.7,49.1
372,North Carolina,Tarboro High,1400 HOWARD AVENUE,TARBORO,27886,1,0,0,1,4-Eligible for Title I SWP provides no program,35.901090,-77.556840,9th Grade,12th Grade,1,1,1,1,589,589,9.8,31.0,23.7
373,North Carolina,Terry Sanford High,2301 FORT BRAGG ROAD,FAYETTEVILLE,28303,1,0,0,1,4-Eligible for Title I SWP provides no program,35.065155,-78.915747,9th Grade,12th Grade,1,1,1,1,1266,1266,49.5,61.6,43.4
374,North Carolina,The JP Knapp ECH (i)School,2966 CARATOKE HWY,CURRITUCK,27929,1,0,0,0,6-Not eligible for either TAS or SWP,36.444450,-76.014171,9th Grade,13th Grade,1,1,1,1,258,244,77.4,79.5,90.4
375,North Carolina,The School for Creative Studies,5001 RED MILL ROAD,DURHAM,27704,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.072007,-78.822916,6th Grade,10th Grade,0,0,1,1,449,153,67.6,68.8,27.8
376,North Carolina,Thomas Jefferson Class Academy,2527 US 221A HWY,MOORESBORO,28114,1,0,1,0,6-Not eligible for either TAS or SWP,35.272252,-81.794303,Kindergarten,12th Grade,1,1,1,1,1303,360,80.2,91.1,92.4
377,North Carolina,Topsail High,245 NORTH ST JOHN'S ROAD,HAMPSTEAD,28443,1,0,0,0,6-Not eligible for either TAS or SWP,34.395709,-77.681587,9th Grade,12th Grade,1,1,1,1,1255,1255,71.8,73.8,62.8
378,North Carolina,Tri-County Early College High,21 CAMPUS CIRCLE,MURPHY,28906,1,0,0,1,1-Eligible for Title I TAS provides no program,35.067838,-83.965117,9th Grade,13th Grade,1,1,1,1,132,129,54.8,81.3,73.8
379,North Carolina,Triton High,215 MAYNARD LAKE ROAD,ERWIN,28339,1,0,0,1,4-Eligible for Title I SWP provides no program,35.338325,-78.664800,9th Grade,12th Grade,1,1,1,1,1308,1308,33.0,50.7,37.4
380,North Carolina,Tuscola High,564 TUSCOLA SCHOOL RD,WAYNESVILLE,28786,1,0,0,1,4-Eligible for Title I SWP provides no program,35.522854,-82.951329,9th Grade,12th Grade,1,1,1,1,1013,1013,47.8,70.1,54.9
381,North Carolina,Union Academy,158 UNION SCHOOL RD,FRANKLIN,28734,4,0,0,1,4-Eligible for Title I SWP provides no program,35.116600,-83.399601,6th Grade,12th Grade,1,1,1,1,114,87,76.7,83.2,68.3
382,North Carolina,Union Academy,675 NORTH ML KING JR BLVD,MONROE,28110,1,0,1,0,6-Not eligible for either TAS or SWP,34.991280,-80.579671,Kindergarten,12th Grade,1,1,1,1,1412,473,76.7,83.2,68.3
383,North Carolina,Union County Early College,4209A OLD CHARLOTTE HWY,MONROE,28110,1,0,0,1,4-Eligible for Title I SWP provides no program,35.031163,-80.620490,9th Grade,13th Grade,1,1,1,1,343,293,86.2,95.0,91.0
384,North Carolina,Union High,1189 KADER MERRITT ROAD,ROSE HILL,28458,1,0,0,1,5-Eligible for Title I SWP provides SWP program,34.807525,-78.240344,9th Grade,12th Grade,1,1,1,1,560,560,28.3,40.5,43.0
385,North Carolina,Union Pines High,1981 UNION CHURCH RD,CAMERON,28326,1,0,0,0,6-Not eligible for either TAS or SWP,35.317230,-79.348630,9th Grade,12th Grade,1,1,1,1,1323,1323,58.2,59.9,53.8
386,North Carolina,Vance Co Early College,200 COMMUNITY COLLEGE RD,HENDERSON,27537,1,0,0,1,1-Eligible for Title I TAS provides no program,36.322544,-78.488630,9th Grade,13th Grade,1,1,1,1,229,191,55.0,85.4,57.1
387,North Carolina,Vance High,7600 IBM DR,CHARLOTTE,28262,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.300403,-80.769214,9th Grade,12th Grade,1,1,1,1,1714,1714,41.4,43.8,34.9
388,North Carolina,Vernon Malone College and Career Academy,2200 S WILMINGTON ST,RALEIGH,27603,1,0,0,1,4-Eligible for Title I SWP provides no program,35.752260,-78.644081,10th Grade,12th Grade,1,1,1,0,130,130,50.0,60.4,16.7
389,North Carolina,Visual and Performing Arts Center,474 N CENTER ST,STATESVILLE,28677,1,0,0,0,6-Not eligible for either TAS or SWP,35.792807,-80.892153,9th Grade,13th Grade,1,1,1,1,289,256,80.3,80.0,67.2
390,North Carolina,Voyager Academy,101 HOCK PARC,DURHAM,27704,1,0,1,1,2-Eligible for Title I TAS provides TAS program,36.045630,-78.896020,Kindergarten,12th Grade,1,1,1,1,1350,419,44.4,60.0,53.2
391,North Carolina,Wake Early College of Health and Science,2901 HOLSTON LANE,RALEIGH,27610,1,0,0,0,6-Not eligible for either TAS or SWP,35.784475,-78.585294,9th Grade,13th Grade,1,1,1,1,309,278,82.7,93.4,78.6
392,North Carolina,Wake Forest High School,420 STADIUM DRIVE,WAKE FOREST,27587,1,0,0,0,6-Not eligible for either TAS or SWP,35.985147,-78.515849,9th Grade,12th Grade,1,1,1,1,1953,1953,73.7,72.1,53.3
393,North Carolina,Wake Young Men's Leadership Academy,567 EAST HARGETT ST,RALEIGH,27601,1,0,0,1,1-Eligible for Title I TAS provides no program,35.778620,-78.629471,6th Grade,11th Grade,0,1,1,1,247,99,80.6,72.7,43.2
394,North Carolina,Wake Young Women's Leadership Academy,301 ASHE AVENUE,RALEIGH,27606,1,0,0,0,6-Not eligible for either TAS or SWP,35.778230,-78.659291,6th Grade,11th Grade,0,1,1,1,281,120,72.7,85.7,85.4
395,North Carolina,Wakefield High,2200 WAKEFIELD PINES DRIVE,RALEIGH,27614,1,0,0,0,6-Not eligible for either TAS or SWP,35.947346,-78.570376,9th Grade,12th Grade,1,1,1,1,2387,2387,63.1,72.7,55.9
396,North Carolina,Wallace-Rose Hill High,602 HIGH SCHOOL ROAD,TEACHEY,28464,1,0,0,1,4-Eligible for Title I SWP provides no program,34.771222,-77.999705,9th Grade,12th Grade,1,1,1,1,667,667,38.7,46.5,29.3
397,North Carolina,Warren County High,149 CAMPUS DRIVE,WARRENTON,27589,1,0,0,1,4-Eligible for Title I SWP provides no program,36.432685,-78.165439,9th Grade,12th Grade,1,1,1,1,415,415,12.4,36.0,15.4
398,North Carolina,Warren Early College High,210 RIDGEWAY ST,WARRENTON,27589,1,0,0,1,4-Eligible for Title I SWP provides no program,36.402469,-78.155132,9th Grade,13th Grade,1,1,1,1,132,109,32.3,58.1,58.8
399,North Carolina,Warren New Tech High,219 US HWY 158 BYPASS,WARRENTON,27589,1,0,0,1,4-Eligible for Title I SWP provides no program,36.433881,-78.174492,9th Grade,12th Grade,1,1,1,1,202,202,30.0,52.9,30.2
400,North Carolina,Washington High,400 SLATESTONE ROAD,WASHINGTON,27889,1,0,0,1,4-Eligible for Title I SWP provides no program,35.557454,-77.013522,9th Grade,12th Grade,1,1,1,1,1035,1035,37.8,48.6,32.6
401,North Carolina,Watauga High,300 GO PIONEERS DRIVE,BOONE,28607,1,0,0,0,6-Not eligible for either TAS or SWP,36.215934,-81.650459,9th Grade,12th Grade,1,1,1,1,1365,1365,70.4,76.6,56.0
402,North Carolina,Wayne Early / Middle College High,3000 WAYNE MEMORIAL DRIVE,GOLDSBORO,27534,1,0,0,1,1-Eligible for Title I TAS provides no program,35.405530,-77.944371,9th Grade,13th Grade,1,1,1,1,256,244,82.8,89.7,90.7
403,North Carolina,Wayne School of Engineering,700 N HERMAN ST,GOLDSBORO,27530,1,0,0,0,6-Not eligible for either TAS or SWP,35.386390,-77.980531,6th Grade,13th Grade,1,1,1,1,449,235,73.6,84.2,80.0
404,North Carolina,Weddington High,4901 MONROE-WEDDINGTON ROAD,MATTHEWS,28104,1,0,0,0,6-Not eligible for either TAS or SWP,35.004770,-80.725001,9th Grade,12th Grade,1,1,1,1,1342,1342,83.8,90.3,91.7
405,North Carolina,Weldon High,415 COUNTY ROAD,WELDON,27890,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.411987,-77.611788,9th Grade,12th Grade,1,1,1,1,181,181,25.8,28.9,12.0
406,North Carolina,West Bladen High,1600 NC HWY 410,BLADENBORO,28320,1,0,0,1,4-Eligible for Title I SWP provides no program,34.639447,-78.741603,9th Grade,12th Grade,1,1,1,1,781,781,34.0,45.7,29.8
407,North Carolina,West Brunswick High,550 WHITEVILLE ROAD NW,SHALLOTTE,28470,1,0,0,1,4-Eligible for Title I SWP provides no program,33.980396,-78.409996,9th Grade,12th Grade,1,1,1,1,1360,1360,57.0,59.4,62.6
408,North Carolina,West Caldwell High,300 W CALDWELL DRIVE,LENOIR,28645,1,0,0,1,4-Eligible for Title I SWP provides no program,35.886674,-81.591703,9th Grade,12th Grade,1,1,1,1,900,900,46.4,53.0,39.8
409,North Carolina,West Carteret High,4700 COUNTRY CLUB ROAD,MOREHEAD CITY,28557,1,0,0,1,4-Eligible for Title I SWP provides no program,34.737347,-76.785870,9th Grade,12th Grade,1,1,1,1,1215,1215,77.0,71.7,76.8
410,North Carolina,West Charlotte High,2219 SENIOR DR,CHARLOTTE,28216,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.265904,-80.859596,9th Grade,12th Grade,1,1,1,1,1777,1777,23.6,33.9,28.8
411,North Carolina,West Columbus High,7294 ANDREW JACKSON HWY,CERRO GORDO,28430,1,0,0,1,4-Eligible for Title I SWP provides no program,34.328040,-78.924021,9th Grade,12th Grade,1,1,1,1,465,465,41.1,48.8,31.9
412,North Carolina,West Craven High,2600 STREETS FERRY ROAD,VANCEBORO,28586,1,0,0,1,4-Eligible for Title I SWP provides no program,35.237470,-77.138291,9th Grade,12th Grade,1,1,1,1,973,973,44.7,51.3,48.3
413,North Carolina,West Henderson High,3600 HAYWOOD ROAD,HENDERSONVILLE,28791,1,0,0,0,6-Not eligible for either TAS or SWP,35.366243,-82.515180,9th Grade,12th Grade,1,1,1,1,1090,1090,77.2,70.5,64.0
414,North Carolina,West Iredell High,213 WARRIOR DR,STATESVILLE,28677,1,0,0,1,4-Eligible for Title I SWP provides no program,35.795296,-80.992185,9th Grade,12th Grade,1,1,1,1,918,918,35.8,40.7,30.9
415,North Carolina,West Johnston High,5935 RALEIGH ROAD,BENSON,27504,1,0,0,0,6-Not eligible for either TAS or SWP,35.522969,-78.537151,9th Grade,12th Grade,1,1,1,1,1359,1359,54.9,64.7,53.1
416,North Carolina,West Lincoln High,172 SHOAL RD,LINCOLNTON,28092,1,0,0,1,4-Eligible for Title I SWP provides no program,35.485245,-81.389653,9th Grade,12th Grade,1,1,1,1,919,919,53.7,50.2,59.8
417,North Carolina,West Mecklenburg High,7400 TUCKASEEGEE RD,CHARLOTTE,28214,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.248774,-80.952396,9th Grade,12th Grade,1,1,1,1,2040,2040,36.7,40.0,22.0
418,North Carolina,West Montgomery High,147 WARRIOR DRIVE,MOUNT GILEAD,27306,1,0,0,1,4-Eligible for Title I SWP provides no program,35.296460,-79.961510,9th Grade,12th Grade,1,1,1,1,572,572,21.6,44.5,45.6
419,North Carolina,West Rowan High,8050 NC 801 HWY,MOUNT ULLA,28125,1,0,0,1,4-Eligible for Title I SWP provides no program,35.699338,-80.643051,9th Grade,12th Grade,1,1,1,1,1089,1089,39.6,51.5,39.5
420,North Carolina,West Stanly High,306 EAST RED CROSS ROAD,OAKBORO,28129,1,0,0,1,1-Eligible for Title I TAS provides no program,35.267100,-80.345987,9th Grade,12th Grade,1,1,1,1,816,816,59.5,57.2,56.4
421,North Carolina,West Wilkes High,6598 BOONE TRAIL,MILLERS CREEK,28651,1,0,0,0,6-Not eligible for either TAS or SWP,36.185682,-81.259651,9th Grade,12th Grade,1,1,1,1,689,689,64.6,60.2,65.5
422,North Carolina,Western Harnett High,10637 NC HWY 27 WEST,LILLINGTON,27546,1,0,0,1,4-Eligible for Title I SWP provides no program,35.335987,-78.981064,9th Grade,12th Grade,1,1,1,1,1338,1338,45.6,53.6,36.0
423,North Carolina,Westover High,277 BONANZA DRIVE,FAYETTEVILLE,28303,1,0,0,1,4-Eligible for Title I SWP provides no program,35.084355,-78.992249,9th Grade,12th Grade,1,1,1,1,1133,1133,34.4,47.0,29.4
424,North Carolina,White Oak High,1001 PINEY GREEN RD,JACKSONVILLE,28546,1,0,0,0,6-Not eligible for either TAS or SWP,34.768656,-77.348389,9th Grade,12th Grade,1,1,1,1,1088,1088,80.4,49.6,48.0
425,North Carolina,Whiteville High,413 N LEE STREET,WHITEVILLE,28472,1,0,0,1,5-Eligible for Title I SWP provides SWP program,34.334558,-78.706792,9th Grade,12th Grade,1,1,1,1,718,718,40.0,59.0,43.9
426,North Carolina,Wilkes Central High,1179 MORAVIAN FALLS RD,WILKESBORO,28697,1,0,0,1,1-Eligible for Title I TAS provides no program,36.110032,-81.178481,9th Grade,12th Grade,1,1,1,1,865,865,48.1,52.3,30.9
427,North Carolina,Wilkes Early College High,1328 S COLLEGIATE DR,WILKESBORO,28697,1,0,0,1,4-Eligible for Title I SWP provides no program,36.135510,-81.183711,9th Grade,13th Grade,1,1,1,1,243,215,44.2,78.2,70.4
428,North Carolina,William Amos Hough High,12420 BAILEY RD,CORNELIUS,28031,1,0,0,0,6-Not eligible for either TAS or SWP,35.467290,-80.827491,9th Grade,12th Grade,1,1,1,1,2453,2453,76.1,82.1,86.2
429,North Carolina,William G Enloe High,128 CLARENDON CRESCENT,RALEIGH,27610,1,1,0,1,1-Eligible for Title I TAS provides no program,35.784794,-78.604683,9th Grade,12th Grade,1,1,1,1,2656,2656,68.1,71.8,65.8
430,North Carolina,Wilmington Early College High,4500 BLUE CLAY RD,CASTLE HAYNE,28429,1,0,0,1,4-Eligible for Title I SWP provides no program,34.322732,-77.878835,9th Grade,13th Grade,1,1,1,1,189,161,72.3,80.4,86.7
431,North Carolina,Wilson Early College Academy,902 HERRING ST,WILSON,27893,1,0,0,1,4-Eligible for Title I SWP provides no program,35.729070,-77.895801,9th Grade,13th Grade,1,1,1,1,253,224,67.9,95.0,79.4
432,North Carolina,Woods Charter,160 WOODLAND GROVE LANE,CHAPEL HILL,27516,1,0,1,0,6-Not eligible for either TAS or SWP,35.815500,-79.114000,Kindergarten,12th Grade,1,1,1,1,509,184,84.4,91.3,83.7
