,SchoolNamePublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,Grade12offeredPublicSchool201415,Grade11offeredPublicSchool201415,Grade10offeredPublicSchool201415,Grade9offeredPublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,StudentTeacherRatio
263,Mount Pleasant High,1,0,0,1,35.407820,-80.482360,1,1,1,1,831,14.89
264,Mount Tabor High School,1,0,0,1,36.126906,-80.313483,1,1,1,1,1532,18.89
265,Mountain Heritage High,1,0,0,1,35.907987,-82.333572,1,1,1,1,671,12.37
266,Murphy High,1,0,0,1,35.100517,-84.016370,1,1,1,1,449,14.70
267,Myers Park High,1,0,0,0,35.170784,-80.833367,1,1,1,1,2762,19.05
268,Nantahala School,1,0,0,1,35.253472,-83.634187,1,1,1,1,96,7.17
269,Nash Central High,1,0,0,1,35.955821,-77.898118,1,1,1,1,1039,17.97
270,Needham Broughton High,1,1,0,1,35.790330,-78.652312,1,1,1,1,2112,16.65
271,Neuse Charter School,1,0,1,1,35.530712,-78.320942,1,1,1,1,764,13.82
272,New Bern High,1,0,0,1,35.100523,-77.115501,1,1,1,1,1697,16.97
273,New Hanover High,1,0,0,1,34.237374,-77.932373,1,1,1,1,1695,16.15
274,Newton-Conover High,1,0,0,1,35.678480,-81.225066,1,1,1,1,811,15.06
275,North Brunswick High,1,0,0,1,34.240530,-78.024524,1,1,1,1,1048,15.63
276,North Buncombe High,1,0,0,1,35.739711,-82.557604,1,1,1,1,1115,17.64
277,North Davidson High,1,0,0,0,35.924514,-80.248503,1,1,1,1,1523,17.34
278,North Duplin Jr Sr High,1,0,0,1,35.134496,-78.085798,1,1,1,1,528,17.03
279,North East Carolina Prep,1,0,1,1,35.891794,-77.580570,0,0,1,1,1306,15.46
280,North Edgecombe High,1,0,0,1,35.989362,-77.581588,1,1,1,1,244,10.40
281,North Forsyth High,1,0,0,1,36.174711,-80.282343,1,1,1,1,1244,15.57
282,North Gaston High,1,0,0,1,35.334439,-81.177503,1,1,1,1,1095,18.00
283,North Henderson High,1,0,0,1,35.360987,-82.422323,1,1,1,1,1089,16.08
284,North Iredell High,1,0,0,1,35.930000,-80.869350,1,1,1,1,1176,17.99
285,North Johnston High,1,0,0,1,35.570990,-78.184379,1,1,1,1,751,13.89
286,North Lenoir High,1,0,0,0,35.341711,-77.679325,1,1,1,1,933,16.09
287,North Lincoln High,1,0,0,0,35.533586,-81.119675,1,1,1,1,974,17.49
288,North Mecklenburg High,1,0,0,1,35.372678,-80.834877,1,1,1,1,1881,18.46
289,North Moore High,1,0,0,1,35.467590,-79.553741,1,1,1,1,640,17.17
290,North Pitt High,1,0,0,1,35.747502,-77.363120,1,1,1,1,917,16.00
291,North Rowan High,1,0,0,1,35.697467,-80.429741,1,1,1,1,698,14.10
292,North Stanly High,1,0,0,1,35.427101,-80.212112,1,1,1,1,593,13.52
293,North Stokes High,1,0,0,1,36.464788,-80.280069,1,1,1,1,432,12.56
294,North Surry High,1,0,0,1,36.505243,-80.673278,1,1,1,1,910,16.28
295,North Wilkes High,1,0,0,1,36.282614,-81.098724,1,1,1,1,736,16.36
296,Northampton County High School,1,0,0,1,36.427675,-77.316466,1,1,1,1,524,13.24
297,Northeast Guilford High,1,0,0,1,36.158570,-79.673037,1,1,1,1,1047,15.62
298,Northeast Regional School - Biotech/Agri,3,0,1,0,35.810041,-76.897289,0,1,1,1,165,15.67
299,Northeastern High,1,0,0,1,36.288058,-76.252967,1,1,1,1,849,14.84
300,Northern Guilford High,1,0,0,0,36.208981,-79.807032,1,1,1,1,1367,19.55
301,Northern High,1,0,0,1,36.094068,-78.912479,1,1,1,1,1448,17.26
302,Northern Nash High,1,0,0,1,35.998742,-77.891468,1,1,1,1,1119,18.37
303,Northern Vance High,1,0,0,1,36.349890,-78.378540,1,1,1,1,925,15.16
304,Northside High,1,0,0,1,35.536258,-76.727890,1,1,1,1,472,18.33
305,Northside High,1,0,0,1,34.791108,-77.388387,1,1,1,1,1109,13.89
306,Northwest Cabarrus High,1,0,0,1,35.453406,-80.665407,1,1,1,1,1198,16.47
307,Northwest Guilford High,1,0,0,0,36.154647,-79.953124,1,1,1,1,1983,20.35
308,Northwest Halifax High,1,0,0,1,36.386845,-77.789656,1,1,1,1,468,13.03
309,Northwest School of the Arts,1,1,0,1,35.257129,-80.856677,1,1,1,1,1019,17.27
310,Northwood High,1,0,0,0,35.756814,-79.173374,1,1,1,1,1284,17.02
311,NRM Early College High School,1,0,0,1,35.977713,-77.898834,1,1,1,1,251,24.49
312,Ocracoke School,1,0,0,1,35.112153,-75.978434,1,1,1,1,160,8.00
313,Olympic High - Biotech Health Pub Admin,1,0,0,1,35.158257,-80.952964,1,1,1,1,521,19.67
314,Olympic TEAM High School,1,0,0,1,35.158257,-80.952964,1,1,1,1,150,12.00
315,Olympic High - Renaissance School,1,0,0,1,35.157860,-80.952408,1,1,1,1,548,18.93
316,Olympic High-Leadership and Development,1,0,0,1,35.158257,-80.952964,1,1,1,1,608,18.22
317,Olympic High-Math Eng Tech Science,1,0,0,1,35.158257,-80.952964,1,1,1,1,607,21.48
318,Orange High,1,0,0,0,36.092870,-79.094704,1,1,1,1,1305,16.42
319,Overhills High,1,0,0,1,35.245390,-78.970331,1,1,1,1,1840,20.55
320,Owen High,1,0,0,1,35.618887,-82.373743,1,1,1,1,779,14.83
321,PACE Academy,1,0,1,1,35.908430,-79.089971,1,1,1,1,111,11.10
322,Page High,1,0,0,1,36.109396,-79.785070,1,1,1,1,2067,20.90
323,Paisley IB Magnet School,1,1,0,1,36.113253,-80.260151,0,0,1,1,770,15.02
324,Pamlico County High,1,0,0,1,35.142568,-76.779219,1,1,1,1,475,11.54
325,Panther Creek High,1,0,0,0,35.830904,-78.889120,1,1,1,1,2893,20.59
326,Parkland High,1,0,0,1,36.057008,-80.257067,1,1,1,1,1359,16.04
327,Parkwood High,1,0,0,1,34.902136,-80.631876,1,1,1,1,1006,17.50
328,Pasquotank County High,1,0,0,1,36.364359,-76.275388,1,1,1,1,773,15.82
329,Pender Early College High,1,0,0,1,34.543740,-77.922781,1,1,1,1,226,18.83
330,Pender High,1,0,0,1,34.545859,-78.012328,1,1,1,1,642,16.17
331,Penn-Griffin Schools,1,1,0,1,35.963725,-79.996448,1,1,1,1,697,13.95
332,Performance Learning Center,1,0,0,1,35.241588,-80.833761,1,1,1,1,152,15.25
333,Performance Learning Center,1,0,0,1,35.364940,-80.594021,1,1,1,1,140,18.67
334,Perquimans County High,1,0,0,1,36.184421,-76.474364,1,1,1,1,521,13.40
335,Person High,1,0,0,1,36.411139,-78.981009,1,1,1,1,1351,15.96
336,Philip J Weaver Ed Center,1,0,0,0,36.070205,-79.798371,1,1,1,1,268,6.06
337,Phillip O Berry Academy of Technology,1,1,0,1,35.239231,-80.891683,1,1,1,1,1714,19.22
338,Piedmont Community Charter School,1,0,1,1,35.236580,-81.115131,1,1,1,1,1225,16.64
339,Piedmont High,1,0,0,0,35.095526,-80.491614,1,1,1,1,1244,18.88
340,Pine Forest High,1,0,0,1,35.154703,-78.886659,1,1,1,1,1589,17.12
341,Pine Lake Preparatory,1,0,1,0,35.535410,-80.846326,1,1,1,1,1678,16.57
342,Pinecrest High,1,0,0,0,35.184846,-79.434589,1,1,1,1,2149,20.17
343,Pisgah High,1,0,0,1,35.521533,-82.841645,1,1,1,1,1013,15.07
344,Plymouth High,1,0,0,1,35.870311,-76.738687,1,1,1,1,359,13.30
345,Polk County Early College,1,0,0,1,35.265258,-82.185298,1,1,1,1,63,19.38
346,Polk County High School,1,0,0,1,35.265613,-82.185170,1,1,1,1,669,12.39
347,Porter Ridge High School,1,0,0,0,35.090563,-80.573888,1,1,1,1,1591,20.40
348,Princeton High,1,0,0,1,35.468050,-78.157301,1,1,1,1,960,15.19
349,Providence Grove High,1,0,0,1,35.850226,-79.713626,1,1,1,1,824,16.16
350,Providence High,1,0,0,0,35.110344,-80.763887,1,1,1,1,1991,21.02
351,PSRC Early College at RCC,1,0,0,1,34.675854,-79.007431,1,1,1,1,198,17.07
352,Purnell Swett High,1,0,0,1,34.696479,-79.245787,1,1,1,1,1799,18.90
353,Quality Education Academy,1,0,1,1,36.151150,-80.211010,1,1,1,1,478,17.75
354,Queen's Grant Community School,1,0,1,1,35.165880,-80.662061,1,1,1,1,1213,17.45
355,R J Reynolds High,1,0,0,1,36.101630,-80.265309,1,1,1,1,1828,20.19
356,R-S Central High School,1,0,0,1,35.328801,-81.952721,1,1,1,1,885,14.84
357,Raleigh Charter High School,1,0,1,0,35.796050,-78.647481,1,1,1,1,559,13.36
358,Randleman High,1,0,0,1,35.824390,-79.822750,1,1,1,1,957,17.13
359,Randolph Early College High,1,0,0,1,35.672760,-79.828523,1,1,1,1,312,26.00
360,Red Springs High,1,0,0,1,34.822956,-79.185736,1,1,1,1,761,15.50
361,Reid Ross Classical High,1,0,0,1,35.102386,-78.876699,1,1,1,1,320,7.21
362,Reidsville High,1,0,0,1,36.329706,-79.675473,1,1,1,1,785,13.92
363,Reynolds High,1,0,0,1,35.546793,-82.477085,1,1,1,1,1348,17.10
364,Richlands High,1,0,0,0,34.891020,-77.545191,1,1,1,1,1156,17.78
365,Richmond Early College High,1,0,0,1,34.902622,-79.712861,1,1,1,1,214,21.40
366,Richmond Senior High,1,0,0,1,34.956050,-79.704291,1,1,1,0,1436,17.07
367,River Mill Academy,1,0,1,1,36.043910,-79.393922,1,1,1,1,666,18.59
368,Riverside High,1,0,0,1,36.066147,-78.943704,1,1,1,1,1811,14.03
369,Riverside High,1,0,0,1,35.836088,-77.069054,1,1,1,1,561,16.95
370,Roanoke Rapids High,1,0,0,1,36.458870,-77.653810,1,1,1,1,928,16.21
371,Roanoke Valley Early College,1,0,0,1,36.427030,-77.615101,1,1,1,1,183,22.88
372,Robbinsville High,1,0,0,1,35.329376,-83.797033,1,1,1,1,381,12.59
373,Roberson High,1,0,0,1,35.485946,-82.535064,1,1,1,1,1591,16.93
374,Robert B Glenn High School,1,0,0,1,36.067836,-80.113797,1,1,1,1,1640,17.52
375,Robert L. Patton High School,1,0,0,1,35.702947,-81.669989,1,1,1,1,1017,19.06
376,Rockingham Co Early College High,1,0,0,1,36.397037,-79.765214,1,1,1,1,309,24.72
377,Rockingham County High,1,0,0,1,36.385825,-79.740072,1,1,1,1,1082,17.90
378,Rocky Mount High,1,0,0,1,35.939030,-77.834861,1,1,1,1,1280,17.95
379,Rocky Mount Preparatory,1,0,1,1,36.015609,-77.779184,1,1,1,1,1278,22.62
380,Rocky River High,1,0,0,1,35.214252,-80.640044,1,1,1,1,1710,18.99
381,Rolesville High,1,0,0,1,35.906782,-78.442129,0,1,1,1,1200,17.27
382,Ronald W Reagan High School,1,0,0,0,36.170305,-80.365156,1,1,1,1,1818,19.88
383,Rosewood High,1,0,0,1,35.416395,-78.075780,1,1,1,1,541,15.53
384,Rosman High,1,0,0,1,35.143267,-82.820547,1,1,1,1,356,12.12
385,Rowan Co Early College,1,0,0,1,35.641639,-80.477842,1,1,1,1,225,30.00
386,Roxboro Community School,1,0,1,1,36.392617,-78.979302,1,1,1,1,704,14.98
387,Rutherford Early College High School,1,0,0,1,35.358180,-81.924970,1,1,1,1,169,28.17
388,S Granville HS Of Health Life Sciences,1,0,0,0,36.123129,-78.674614,1,1,1,1,455,26.76
389,S Granville HS of Integ Tech & Lead,1,0,0,0,36.122887,-78.674378,1,1,1,1,462,16.80
390,Saint Pauls High,1,0,0,1,34.812200,-78.977300,1,1,1,1,957,15.41
391,Saint Stephens High,1,0,0,1,35.772116,-81.269091,1,1,1,1,1257,17.66
392,Salisbury High,1,0,0,1,35.664761,-80.484917,1,1,1,1,813,14.07
393,Sampson Early College High,1,0,0,1,34.990867,-78.358889,1,1,1,1,246,23.43
394,Sanderson High,1,0,0,0,35.861057,-78.647282,1,1,1,1,2002,18.02
395,SandHoke Early College High,1,0,0,1,34.976560,-79.205471,1,1,1,1,318,28.91
396,School of Inquiry and Life Sciences,1,0,0,0,35.572668,-82.552301,1,1,1,1,299,21.01
397,Scotland Early College High,1,0,0,1,34.743680,-79.480121,1,1,1,1,217,27.13
398,Scotland High School,1,0,0,1,34.778916,-79.477410,1,1,1,1,1581,16.73
399,Seventy-First High,1,0,0,1,35.039171,-79.005464,1,1,1,1,1635,17.05
400,Shelby High,1,0,0,1,35.274469,-81.538391,1,1,1,1,829,12.66
401,Smithfield-Selma High,1,0,0,1,35.529436,-78.323643,1,1,1,1,1249,14.88
402,Smoky Mountain High,1,0,0,1,35.353092,-83.198370,1,1,1,1,839,14.64
403,South Brunswick High,1,0,0,1,34.011259,-78.042734,1,1,1,1,1098,15.45
404,South Caldwell High,1,0,0,1,35.821653,-81.450794,1,1,1,1,1618,15.22
405,South Central High,1,0,0,1,35.541100,-77.428590,1,1,1,1,1628,17.51
406,South Columbus High,1,0,0,1,34.173200,-78.814931,1,1,1,1,785,18.26
407,South Creek High,1,0,0,1,35.856714,-77.243489,1,1,1,1,323,10.68
408,South Davidson High,1,0,0,1,35.672920,-80.104271,1,1,1,1,439,13.97
409,South Iredell High,1,0,0,0,35.717305,-80.909988,1,1,1,1,1505,16.19
410,South Johnston High,1,0,0,1,35.410114,-78.500830,1,1,1,1,1200,15.56
411,South Lenoir High,1,0,0,0,35.145746,-77.704343,1,1,1,1,789,15.80
412,South Mecklenburg High,1,0,0,1,35.109355,-80.860978,1,1,1,1,2913,19.70
413,South Point High,1,0,0,0,35.222923,-81.038678,1,1,1,1,1101,17.84
414,South Robeson High,1,0,0,1,34.545870,-79.242850,1,1,1,1,484,10.80
415,South Rowan High,1,0,0,1,35.573137,-80.609972,1,1,1,1,970,15.93
416,South Stanly High,1,0,0,1,35.230980,-80.163951,1,1,1,1,429,12.73
417,South Stokes High,1,0,0,1,36.326262,-80.240050,1,1,1,1,633,12.23
418,South View High,1,0,0,1,34.978088,-78.926605,1,1,1,1,1782,17.13
419,Southeast Guilford High,1,0,0,1,35.972649,-79.697813,1,1,1,1,1410,16.83
420,Southeast Halifax High,1,0,0,1,36.219311,-77.550876,1,1,1,1,336,12.92
421,Southeast Raleigh High,1,1,0,1,35.745629,-78.604002,1,1,1,1,1538,13.91
422,Southern Guilford High,1,0,0,1,35.951230,-79.854450,1,1,1,1,1128,16.25
423,Southern High,1,0,0,1,36.002210,-79.408610,1,1,1,1,1545,19.31
424,Southern Lee High School,1,0,0,1,35.434888,-79.185529,1,1,1,1,1179,15.53
425,Southern Nash High,1,0,0,1,35.851079,-78.087413,1,1,1,1,1189,18.08
426,Southern School of Energy and Sustainabi,1,0,0,1,35.999879,-78.829051,1,1,1,1,1292,14.32
427,Southern Vance High,1,0,0,1,36.303335,-78.374364,1,1,1,1,834,15.44
428,Southern Wake Academy,1,0,1,0,35.612770,-78.819191,1,1,1,1,306,11.77
429,Southern Wayne High,1,0,0,1,35.253639,-78.045238,1,1,1,1,1120,16.08
430,Southside High,1,0,0,1,35.446222,-77.057229,1,1,1,1,444,13.33
431,SouthWest Edgecombe High,1,0,0,1,35.839930,-77.661290,1,1,1,1,847,16.86
432,Southwest Guilford High,1,0,0,1,36.046697,-79.988828,1,1,1,1,1527,18.10
433,Southwest High,1,0,0,1,34.749220,-77.481951,1,1,1,1,664,15.81
434,Southwestern Randolph High,1,0,0,1,35.626640,-79.868830,1,1,1,1,1117,16.98
435,Spring Creek High,1,0,0,1,35.226763,-77.897801,1,1,1,1,1038,16.74
436,Stanly Early College High,1,0,0,1,35.336450,-80.233681,1,1,1,1,204,26.84
437,Starmount High,1,0,0,1,36.182935,-80.771569,1,1,1,1,631,15.18
438,Statesville High,1,0,0,1,35.792659,-80.892019,1,1,1,1,1029,15.35
439,STEM Early College @ NC A&T SU,1,0,0,0,36.076408,-79.773690,1,1,1,1,150,18.52
440,Stokes Early College,1,0,0,1,36.374090,-80.181451,1,1,1,1,146,17.18
441,Stuart W Cramer High,1,0,0,1,35.246520,-81.063191,1,1,1,1,782,17.13
442,Sun Valley High,1,0,0,1,35.046059,-80.644768,1,1,1,1,1306,17.13
443,Surry Central High,1,0,0,1,36.381762,-80.715175,1,1,1,1,801,17.04
444,Surry Early College,1,0,0,1,36.384890,-80.715421,1,1,1,1,366,34.86
445,Swansboro High,1,0,0,0,34.698222,-77.154440,1,1,1,1,1067,16.29
446,T Wingate Andrews High,1,1,0,1,35.985404,-79.990014,1,1,1,1,871,13.63
447,Tarboro High,1,0,0,1,35.901090,-77.556840,1,1,1,1,589,15.50
448,Terry Sanford High,1,0,0,1,35.065155,-78.915747,1,1,1,1,1266,17.62
449,The Academy at Central,1,0,0,1,35.956190,-80.022440,1,1,1,1,135,10.28
450,The Academy at Smith,1,0,0,1,36.034809,-79.847021,1,1,1,1,224,14.12
451,The Hawbridge School,1,0,1,0,35.946619,-79.318981,1,1,1,1,239,12.08
452,The JP Knapp ECH (i)School,1,0,0,0,36.444450,-76.014171,1,1,1,1,258,34.40
453,The North Carolina Leadership Academy,1,0,1,0,36.046499,-80.112718,0,0,1,1,534,17.45
454,The School for Creative Studies,1,0,0,1,36.072007,-78.822916,0,0,1,1,449,12.90
455,Thomas Jefferson Class Academy,1,0,1,0,35.272252,-81.794303,1,1,1,1,1303,16.22
456,Thomasville High,1,0,0,1,35.900127,-80.076063,1,1,1,1,700,14.81
457,Topsail High,1,0,0,0,34.395709,-77.681587,1,1,1,1,1255,18.91
458,Tri-County Early College High,1,0,0,1,35.067838,-83.965117,1,1,1,1,132,18.86
459,Triad Math and Science Academy,1,0,1,1,36.030140,-79.809571,1,1,1,1,1106,15.40
460,Trinity High,1,0,0,1,35.894008,-79.997579,1,1,1,1,766,17.63
461,Triton High,1,0,0,1,35.338325,-78.664800,1,1,1,1,1308,16.67
462,Tuscola High,1,0,0,1,35.522854,-82.951329,1,1,1,1,1013,14.94
463,Union Academy,4,0,0,1,35.116600,-83.399601,1,1,1,1,114,11.73
464,Union Academy,1,0,1,0,34.991280,-80.579671,1,1,1,1,1412,17.07
465,Union County Early College,1,0,0,1,35.031163,-80.620490,1,1,1,1,343,24.77
466,Union High,1,0,0,1,34.807525,-78.240344,1,1,1,1,560,14.73
467,Union Pines High,1,0,0,0,35.317230,-79.348630,1,1,1,1,1323,19.13
468,Uwharrie Charter Academy,1,0,1,0,35.691832,-79.832822,0,1,1,1,318,15.81
469,Vance Co Early College,1,0,0,1,36.322544,-78.488630,1,1,1,1,229,25.44
470,Vance High,1,0,0,1,35.300403,-80.769214,1,1,1,1,1714,18.81
471,Vernon Malone College and Career Academy,1,0,0,1,35.752260,-78.644081,1,1,1,0,130,12.38
472,Visual and Performing Arts Center,1,0,0,0,35.792807,-80.892153,1,1,1,1,289,25.58
473,Voyager Academy,1,0,1,1,36.045630,-78.896020,1,1,1,1,1350,13.73
474,Wake Early College of Health and Science,1,0,0,0,35.784475,-78.585294,1,1,1,1,309,22.89
475,Wake Forest High School,1,0,0,0,35.985147,-78.515849,1,1,1,1,1953,18.34
476,Wake Young Men's Leadership Academy,1,0,0,1,35.778620,-78.629471,0,1,1,1,247,12.34
477,Wake Young Women's Leadership Academy,1,0,0,0,35.778230,-78.659291,0,1,1,1,281,12.60
478,Wakefield High,1,0,0,0,35.947346,-78.570376,1,1,1,1,2387,18.08
479,Walkertown High,1,0,0,1,36.175050,-80.146841,1,1,1,1,738,17.09
480,Wallace-Rose Hill High,1,0,0,1,34.771222,-77.999705,1,1,1,1,667,17.17
481,Walter M Williams High,1,0,0,1,36.088052,-79.453662,1,1,1,1,1192,18.44
482,Warren County High,1,0,0,1,36.432685,-78.165439,1,1,1,1,415,13.62
483,Warren Early College High,1,0,0,1,36.402469,-78.155132,1,1,1,1,132,18.59
484,Warren New Tech High,1,0,0,1,36.433881,-78.174492,1,1,1,1,202,14.85
485,Washington High,1,0,0,1,35.557454,-77.013522,1,1,1,1,1035,16.06
486,Watauga High,1,0,0,0,36.215934,-81.650459,1,1,1,1,1365,13.41
487,Wayne Early / Middle College High,1,0,0,1,35.405530,-77.944371,1,1,1,1,256,21.33
488,Wayne School of Engineering,1,0,0,0,35.386390,-77.980531,1,1,1,1,449,18.34
489,Weddington High,1,0,0,0,35.004770,-80.725001,1,1,1,1,1342,19.38
490,Weldon High,1,0,0,1,36.411987,-77.611788,1,1,1,1,181,7.54
491,West Bladen High,1,0,0,1,34.639447,-78.741603,1,1,1,1,781,16.98
492,West Brunswick High,1,0,0,1,33.980396,-78.409996,1,1,1,1,1360,15.50
493,West Caldwell High,1,0,0,1,35.886674,-81.591703,1,1,1,1,900,13.99
494,West Carteret High,1,0,0,1,34.737347,-76.785870,1,1,1,1,1215,15.28
495,West Charlotte High,1,0,0,1,35.265904,-80.859596,1,1,1,1,1777,16.20
496,West Columbus High,1,0,0,1,34.328040,-78.924021,1,1,1,1,465,12.74
497,West Craven High,1,0,0,1,35.237470,-77.138291,1,1,1,1,973,14.69
498,West Davidson High,1,0,0,1,35.803349,-80.366349,1,1,1,1,792,17.02
499,West Forsyth High,1,0,0,0,36.063257,-80.386402,1,1,1,1,2177,19.89
500,West Henderson High,1,0,0,0,35.366243,-82.515180,1,1,1,1,1090,16.26
501,West Iredell High,1,0,0,1,35.795296,-80.992185,1,1,1,1,918,16.13
502,West Johnston High,1,0,0,0,35.522969,-78.537151,1,1,1,1,1359,16.22
503,West Lincoln High,1,0,0,1,35.485245,-81.389653,1,1,1,1,919,16.70
504,West Mecklenburg High,1,0,0,1,35.248774,-80.952396,1,1,1,1,2040,18.79
505,West Montgomery High,1,0,0,1,35.296460,-79.961510,1,1,1,1,572,15.26
506,West Rowan High,1,0,0,1,35.699338,-80.643051,1,1,1,1,1089,16.62
507,West Stanly High,1,0,0,1,35.267100,-80.345987,1,1,1,1,816,14.94
508,West Stokes High,1,0,0,0,36.314095,-80.375825,1,1,1,1,977,15.44
509,West Wilkes High,1,0,0,0,36.185682,-81.259651,1,1,1,1,689,15.57
510,Western Alamance High,1,0,0,0,36.153129,-79.498292,1,1,1,1,1233,18.65
511,Western Guilford High,1,0,0,1,36.082130,-79.907670,1,1,1,1,1308,18.77
512,Western Harnett High,1,0,0,1,35.335987,-78.981064,1,1,1,1,1338,17.72
513,Westover High,1,0,0,1,35.084355,-78.992249,1,1,1,1,1133,15.03
514,Wheatmore High,1,0,0,1,35.828920,-80.007711,1,1,1,1,815,16.96
515,White Oak High,1,0,0,0,34.768656,-77.348389,1,1,1,1,1088,17.84
516,Whiteville High,1,0,0,1,34.334558,-78.706792,1,1,1,1,718,14.38
517,Wilkes Central High,1,0,0,1,36.110032,-81.178481,1,1,1,1,865,15.66
518,Wilkes Early College High,1,0,0,1,36.135510,-81.183711,1,1,1,1,243,27.00
519,William Amos Hough High,1,0,0,0,35.467290,-80.827491,1,1,1,1,2453,20.43
520,William G Enloe High,1,1,0,1,35.784794,-78.604683,1,1,1,1,2656,17.01
521,Wilmington Early College High,1,0,0,1,34.322732,-77.878835,1,1,1,1,189,20.88
522,Wilson Early College Academy,1,0,0,1,35.729070,-77.895801,1,1,1,1,253,28.02
523,Winston-Salem Preparatory Acad,1,1,0,1,36.110174,-80.221886,1,1,1,1,425,12.45
524,Woods Charter,1,0,1,0,35.815500,-79.114000,1,1,1,1,509,11.44
525,Yadkin Early College,1,0,0,1,36.147990,-80.673674,1,1,1,1,213,27.99
526,Yadkin Valley Regional Career Academy,1,0,0,1,35.817104,-80.188747,0,1,1,1,132,15.53
