School Name,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location Address 2 [Public School] 2014-15,Location Address 3 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location ZIP4 [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15
ALEXANDER CENTRAL HIGH,North Carolina,True,223 SCHOOL DRIVE,†,†,TAYLORSVILLE,28681,2399,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.916796,-81.188880,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,1601,1601
ALLEGHANY HIGH,North Carolina,True,404 TROJAN AVENUE,†,†,SPARTA,28675,†,1-Regular school,2-No,2-No,2-No,6-Not eligible for either TAS or SWP,36.509471,-81.124986,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,454,454
ASHE COUNTY HIGH,North Carolina,True,184 CAMPUS DRIVE,†,†,WEST JEFFERSON,28694,"=""0450""",1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.392701,-81.477977,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,953,953
ASHE COUNTY MIDDLE,North Carolina,True,255 NORTHWEST LANE,†,†,WARRENSVILLE,28693,"=""0259""",1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.463632,-81.510053,7th Grade,8th Grade,2-No,2-No,2-No,2-No,500,†
AVERY COUNTY HIGH,North Carolina,True,401 AVERY COUNTY HIGH SCHOOL R,†,†,NEWLAND,28657,1300,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.067608,-81.919724,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,386,386
AVERY HIGH STEM ACADEMY,North Carolina,True,401 AVERY COUNTY HIGH SCHOOL R,†,†,NEWLAND,28657,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.067608,-81.919724,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,174,174
AVERY HIGH VIKING ACADEMY,North Carolina,True,401 AVERY COUNTY HIGH SCHOOL R,†,†,NEWLAND,28657,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.067608,-81.919724,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,76,76
AVERY MIDDLE,North Carolina,True,102 OLD MONTEZUMA ROAD,†,†,NEWLAND,28657,"=""0729""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.067352,-81.916380,6th Grade,8th Grade,2-No,2-No,2-No,2-No,292,†
BALD CREEK ELEMENTARY,North Carolina,True,100 BALD CREEK SCHOOL ROAD,†,†,BURNSVILLE,28714,9313,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.912860,-82.423632,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,174,†
BALLS CREEK ELEMENTARY,North Carolina,True,2620 BALLS CREEK ROAD,†,†,NEWTON,28658,9650,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.630282,-81.127720,Prekindergarten,6th Grade,2-No,2-No,2-No,2-No,612,†
BANDYS HIGH,North Carolina,True,5040 E BANDYS ROAD,†,†,CATAWBA,28609,9727,1-Regular school,2-No,2-No,2-No,6-Not eligible for either TAS or SWP,35.645263,-81.084386,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,872,872
BANNER ELK ELEMENTARY,North Carolina,True,155 ORCHARD LANE,†,†,BANNER ELK,28604,"=""0218""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.148333,-81.857185,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,173,†
BANOAK ELEMENTARY,North Carolina,True,7651 W NC 10 HWY,†,†,VALE,28168,8804,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.583860,-81.441330,Kindergarten,6th Grade,2-No,2-No,2-No,2-No,304,†
BATON ELEMENTARY,North Carolina,True,1400 BATON SCHOOL ROAD,†,†,GRANITE FALLS,28630,9250,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.808888,-81.536129,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,420,†
BEE LOG ELEMENTARY,North Carolina,True,55 BEE LOG ROAD,†,†,BURNSVILLE,28714,9804,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.982831,-82.408538,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,55,†
BETHEL ELEMENTARY,North Carolina,True,4700 OLD RIVER ROAD,†,†,CANTON,28716,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.485850,-82.889651,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,505,†
BETHEL ELEMENTARY,North Carolina,True,138 BETHEL SCHOOL RD,†,†,SUGAR GROVE,28679,9720,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.293530,-81.848760,Kindergarten,8th Grade,2-No,2-No,2-No,2-No,172,†
BETHEL ELEMENTARY,North Carolina,True,2425 MIDLAND ROAD,†,†,MIDLAND,28107,9760,1-Regular school,2-No,2-No,1-Yes,1-Eligible for Title I TAS provides no program,35.241656,-80.533982,Kindergarten,6th Grade,2-No,2-No,2-No,2-No,620,†
BETHEL ELEMENTARY,North Carolina,True,152 E. WASHINGTON STREET,†,†,BETHEL,27812,9701,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.806300,-77.370981,Prekindergarten,8th Grade,2-No,2-No,2-No,2-No,347,†
BETHLEHEM ELEMENTARY,North Carolina,True,7900 NC HWY 127,†,†,TAYLORSVILLE,28681,9756,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.843279,-81.310112,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,488,†
BLACKBURN ELEMENTARY,North Carolina,True,4377 W NC 10 HWY,†,†,NEWTON,28658,9775,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.614902,-81.332679,Kindergarten,6th Grade,2-No,2-No,2-No,2-No,693,†
BLOWING ROCK ELEMENTARY,North Carolina,True,165 MORRIS STREET,†,†,BLOWING ROCK,28605,"=""0228""",1-Regular school,2-No,2-No,2-No,6-Not eligible for either TAS or SWP,36.131937,-81.676163,Kindergarten,8th Grade,2-No,2-No,2-No,2-No,338,†
BLUE RIDGE ACADEMY,North Carolina,True,76 OLD MONTEZUMA ROAD,†,†,NEWLAND,28657,†,4-Alternative/other school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.067882,-81.916214,6th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,22,22
BLUE RIDGE ELEMENTARY,North Carolina,True,5778 NC HWY 88 W,†,†,WARRENSVILLE,28693,"=""0229""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.461310,-81.532949,Prekindergarten,6th Grade,2-No,2-No,2-No,2-No,528,†
BOOMER-FERGUSON ELEMENTARY,North Carolina,True,556 BOOMER-FERGUSON SCH RD,†,†,BOOMER,28606,9739,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.092215,-81.275987,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,155,†
BOWMAN MIDDLE,North Carolina,True,410 S MITCHELL AVENUE,†,†,BAKERSVILLE,28705,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.012874,-82.152500,5th Grade,8th Grade,2-No,2-No,2-No,2-No,240,†
BRIDGES ACADEMY,North Carolina,True,2587 PLEASANT RIDGE ROAD,†,†,STATE ROAD,28676,†,1-Regular school,2-No,1-Yes,1-Yes,5-Eligible for Title I SWP provides SWP program,36.314900,-80.884550,Kindergarten,8th Grade,2-No,2-No,2-No,2-No,162,†
BUNKER HILL HIGH,North Carolina,True,4675 OXFORD SCHOOL ROAD,†,†,CLAREMONT,28610,9468,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.742030,-81.111320,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,936,936
BURKE MIDDLE COLLEGE,North Carolina,True,1001 BURKEMONT AVE,†,†,MORGANTON,28655,†,1-Regular school,2-No,2-No,1-Yes,1-Eligible for Title I TAS provides no program,35.723454,-81.688370,11th Grade,12th Grade,1-Yes,1-Yes,2-No,2-No,120,120
BURNSVILLE ELEMENTARY,North Carolina,True,395 BURNSVILLE SCHOOL ROAD,†,†,BURNSVILLE,28714,2623,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.917188,-82.260003,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,379,†
C B ELLER ELEMENTARY,North Carolina,True,1288 CB ELLER SCHOOL RD,†,†,ELKIN,28621,9419,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.272390,-80.885850,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,282,†
C C WRIGHT ELEMENTARY,North Carolina,True,200 CC WRIGHT SCHOOL RD,†,†,NORTH WILKESBORO,28659,4702,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.137210,-81.107800,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,441,†
CALDWELL CAREER CEN MID. COLL.,North Carolina,True,2857 HICKORY BOULEVARD,†,†,HUDSON,28638,†,1-Regular school,2-No,2-No,1-Yes,1-Eligible for Title I TAS provides no program,35.855556,-81.485220,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,240,240
CALDWELL CO GATEWAY SCH,North Carolina,True,1889 DUDLEY SHOALS ROAD,†,†,GRANITE FALLS,28630,8431,4-Alternative/other school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.864140,-81.368391,6th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,44,28
CALDWELL EARLY COLLEGE,North Carolina,True,2859 HICKORY BLVD SW,†,†,HUDSON,28638,†,1-Regular school,2-No,2-No,2-No,6-Not eligible for either TAS or SWP,35.853817,-81.483806,9th Grade,13th Grade,1-Yes,1-Yes,1-Yes,1-Yes,385,325
CANE RIVER MIDDLE,North Carolina,True,1128 CANE RIVER SCHOOL ROAD,†,†,BURNSVILLE,28714,9803,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.912177,-82.377678,6th Grade,8th Grade,2-No,2-No,2-No,2-No,250,†
CATAWBA ELEMENTARY SCHOOL,North Carolina,True,5415 HUDSON CHAPEL ROAD,†,†,CATAWBA,28609,"=""0448""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.696420,-81.072851,Prekindergarten,6th Grade,2-No,2-No,2-No,2-No,460,†
CATAWBA ROSENWALD EDUCATION CENTER,North Carolina,True,403 6TH AVE SW,†,†,CATAWBA,28609,†,2-Special education school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.701856,-81.075616,Kindergarten,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,44,27
CENTRAL WILKES MIDDLE,North Carolina,True,3541 SOUTH NC HWY 16,†,†,MORAVIAN FALLS,28654,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.094079,-81.177470,6th Grade,8th Grade,2-No,2-No,2-No,2-No,759,†
CHALLENGER EARLY COLLEGE HIGH,North Carolina,True,2550 HWY 70 SE,†,†,HICKORY,28602,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.699458,-81.288100,9th Grade,13th Grade,1-Yes,1-Yes,1-Yes,1-Yes,368,365
CHARLES H TUTTLE ELEMENTARY,North Carolina,True,2872 WATER PLANT ROAD,†,†,MAIDEN,28650,9705,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.587920,-81.156470,Kindergarten,6th Grade,2-No,2-No,2-No,2-No,518,†
CHESTERFIELD ELEMENTARY,North Carolina,True,2142 PAX HILL ROAD,†,†,MORGANTON,28655,9399,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.810832,-81.664314,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,187,†
CLAREMONT ELEMENTARY,North Carolina,True,3384 E MAIN STREET,†,†,CLAREMONT,28610,"=""0219""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.715920,-81.143380,Prekindergarten,6th Grade,2-No,2-No,2-No,2-No,404,†
CLEARMONT ELEMENTARY,North Carolina,True,1175 CLEARMONT SCHOOL ROAD,†,†,BURNSVILLE,28714,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.976375,-82.297449,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,126,†
CLYDE CAMPBELL ELEMENTARY,North Carolina,True,2121 35TH AVENUE DRIVE NE,†,†,HICKORY,28601,9806,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.777662,-81.286593,Kindergarten,6th Grade,2-No,2-No,2-No,2-No,539,†
COLLETTSVILLE SCHOOL,North Carolina,True,4690 COLLETTSVILLE SCHOOL RD,†,†,COLLETTSVILLE,28611,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.927023,-81.672763,Kindergarten,8th Grade,2-No,2-No,2-No,2-No,344,†
CONOVER SPECIAL EDUCATION,North Carolina,True,108 7TH STREET PLACE SW,†,†,CONOVER,28613,2700,2-Special education school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.701460,-81.220660,Prekindergarten,13th Grade,1-Yes,1-Yes,1-Yes,1-Yes,125,54
COVE CREEK ELEMENTARY,North Carolina,True,930 VANDERPOOL RD,†,†,VILAS,28692,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.259471,-81.748746,Kindergarten,8th Grade,2-No,2-No,2-No,2-No,287,†
CRANBERRY MIDDLE,North Carolina,True,6230 NORTH HIGHWAY 19E,†,†,ELK PARK,28622,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.147292,-81.964130,6th Grade,8th Grade,2-No,2-No,2-No,2-No,216,†
CROSSNORE ACADEMY,North Carolina,True,129 ALLEN CIRCLE,†,†,CROSSNORE,28616,†,1-Regular school,2-No,1-Yes,1-Yes,5-Eligible for Title I SWP provides SWP program,36.021600,-81.929700,Kindergarten,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,104,43
CROSSNORE ELEMENTARY,North Carolina,True,1000 WALT CLARK ROAD,†,†,CROSSNORE,28616,"=""0056""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.025777,-81.925880,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,211,†
DAVENPORT A+ SCHOOL,North Carolina,True,901 COLLEGE AVENUE SW,†,†,LENOIR,28645,5427,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.911770,-81.539697,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,488,†
DEYTON ELEMENTARY,North Carolina,True,308 HARRIS STREET,†,†,SPRUCE PINE,28777,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.909760,-82.088212,3rd Grade,5th Grade,2-No,2-No,2-No,2-No,252,†
DISCOVERY HIGH SCHOOL,North Carolina,True,301 WEST 18TH ST,†,†,NEWTON,28658,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.679590,-81.222361,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,224,176
DREXEL ELEMENTARY,North Carolina,True,100 ALTA VISTA STREET,†,†,MORGANTON,28655,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.757700,-81.604400,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,500,†
DUDLEY SHOALS ELEMENTARY,North Carolina,True,1500 DUDLEY SHOALS ROAD,†,†,GRANITE FALLS,28630,8424,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.855910,-81.392111,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,488,†
EAST ALEXANDER MIDDLE,North Carolina,True,1285 WHITE PLAINS ROAD,†,†,HIDDENITE,28636,9802,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.929689,-81.122768,6th Grade,8th Grade,2-No,2-No,2-No,2-No,671,†
EAST BURKE HIGH,North Carolina,True,3695 EAST BURKE BOULEVARD,†,†,CONNELLY SPRINGS,28612,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.721566,-81.482113,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,991,991
EAST BURKE MIDDLE,North Carolina,True,3519 MILLER BRIDGE ROAD,†,†,CONNELLY SPRINGS,28612,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.721816,-81.481817,6th Grade,8th Grade,2-No,2-No,2-No,2-No,728,†
EAST MCDOWELL JUNIOR HIGH,North Carolina,True,676 STATE STREET,†,†,MARION,28752,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.687220,-81.995697,6th Grade,8th Grade,2-No,2-No,2-No,2-No,718,†
EAST WILKES HIGH,North Carolina,True,13315 ELKIN HWY 268,†,†,RONDA,28670,†,1-Regular school,2-No,2-No,2-No,6-Not eligible for either TAS or SWP,36.226446,-80.927589,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,548,548
EAST WILKES MIDDLE,North Carolina,True,2202 MACEDONIA CHURCH ROAD,†,†,RONDA,28670,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.245547,-80.929385,6th Grade,8th Grade,2-No,2-No,2-No,2-No,423,†
EAST YANCEY MIDDLE,North Carolina,True,285 GEORGES FORK ROAD,†,†,BURNSVILLE,28714,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.911351,-82.257994,6th Grade,8th Grade,2-No,2-No,2-No,2-No,296,†
EASTFIELD GLOBAL MAGNET SCHOOL,North Carolina,True,170 EASTFIELD SCHOOL ROAD,†,†,MARION,28752,†,1-Regular school,1-Yes,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.686240,-81.986337,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,331,†
