,StateNamePublicSchoolLatestavailableyear,SchoolNamePublicSchool201415,LocationAddress1PublicSchool201415,LocationCityPublicSchool201415,LocationZIPPublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,TitleISchoolStatusPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,LowestGradeOfferedPublicSchool201415,HighestGradeOfferedPublicSchool201415,Grade12offeredPublicSchool201415,Grade11offeredPublicSchool201415,Grade10offeredPublicSchool201415,Grade9offeredPublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,Grades912StudentsPublicSchool201415,StudentTeacherRatio,Biology,District,English,Math,Reduced Lunch,Free Lunch,Percent Lunch
0,North Carolina,A L Brown High,415 E 1ST STREET,KANNAPOLIS,28083,1,0,0,1,4,35.496330,-80.618593,9th Grade,12th Grade,1,1,1,1,1475,1475,14.73,45.5,Southwest,46.1,31.3,181.0,662.0,0.571525423729
1,North Carolina,Albemarle High,311 PARK RIDGE ROAD,ALBEMARLE,28001,1,0,0,1,4,35.371268,-80.193152,9th Grade,12th Grade,1,1,1,1,464,464,13.39,29.1,Southwest,43.4,25.6,39.0,288.0,0.70474137931
2,North Carolina,Alexander Central High,223 SCHOOL DRIVE,TAYLORSVILLE,28681,1,0,0,1,4,35.916796,-81.188880,9th Grade,12th Grade,1,1,1,1,1601,1601,16.64,60.9,Northwest,59.9,63.2,145.0,551.0,0.434728294816
3,North Carolina,Alleghany High,404 TROJAN AVENUE,SPARTA,28675,1,0,0,0,6,36.509471,-81.124986,9th Grade,12th Grade,1,1,1,1,454,454,13.16,60.2,Northwest,59.1,58.3,45.0,205.0,0.550660792952
4,North Carolina,Andrews High,50 HIGH SCHOOL DRIVE,ANDREWS,28901,1,0,0,1,4,35.195186,-83.824323,9th Grade,12th Grade,1,1,1,1,273,273,16.95,50.0,Western,62.3,32.4,30.0,128.0,0.578754578755
5,North Carolina,Anson Co. Early College High,177 LEDBETTER STREET,POLKTON,28135,1,0,0,1,4,34.999700,-80.210481,9th Grade,13th Grade,1,1,1,1,195,180,19.60,20.5,Southwest,73.3,65.9,15.0,77.0,0.471794871795
6,North Carolina,Anson High School,96 ANSON HIGH SCHOOL ROAD,WADESBORO,28170,1,0,0,1,4,34.977410,-80.103131,9th Grade,12th Grade,1,1,1,1,633,633,13.09,5.1,Southwest,21.0,24.5,47.0,422.0,0.740916271722
7,North Carolina,Anson New Tech High,118 W. ASHE STREET,WADESBORO,28170,1,0,0,1,4,34.960669,-80.078198,9th Grade,12th Grade,1,1,1,1,165,165,21.71,18.2,Southwest,36.6,13.6,14.0,94.0,0.654545454545
8,North Carolina,Apex High,1501 LAURA DUNCAN RD,APEX,27502,1,0,0,0,6,35.745325,-78.837272,9th Grade,12th Grade,1,1,1,1,2549,2549,19.31,79.6,North Central,82.7,85.6,50.0,176.0,0.0886622204786
9,North Carolina,Arapahoe Charter School,9005 NC HWY 306 S,ARAPAHOE,28510,1,0,1,1,5,35.012253,-76.821202,Kindergarten,10th Grade,0,0,1,1,470,67,17.00,37.9,Southeast,52.2,57.5,47.0,203.0,0.531914893617
10,North Carolina,Ardrey Kell High,10220 ARDREY KELL RD,CHARLOTTE,28277,1,0,0,0,6,35.029990,-80.826650,9th Grade,12th Grade,1,1,1,1,2701,2701,21.18,88.1,Southwest,89.5,89.2,79.0,232.0,0.1151425398
11,North Carolina,Ashbrook High,2222 S NEW HOPE ROAD,GASTONIA,28054,1,0,0,1,4,35.243106,-81.127153,9th Grade,12th Grade,1,1,1,1,1436,1436,16.06,61.5,Southwest,52.3,64.9,119.0,718.0,0.58286908078
12,North Carolina,Ashe County High,184 CAMPUS DRIVE,WEST JEFFERSON,28694,1,0,0,1,4,36.392701,-81.477977,9th Grade,12th Grade,1,1,1,1,953,953,14.33,52.2,Northwest,60.4,62.9,110.0,397.0,0.532004197272
13,North Carolina,Asheboro High,1221 S PARK ST,ASHEBORO,27203,1,0,0,1,4,35.689290,-79.818420,9th Grade,12th Grade,1,1,1,1,1311,1311,16.83,42.2,Piedmont-Triad,47.6,46.4,111.0,714.0,0.629290617849
14,North Carolina,Asheville High,419 MCDOWELL STREET,ASHEVILLE,28803,1,0,0,1,4,35.572901,-82.553099,9th Grade,12th Grade,1,1,1,1,1089,1089,11.85,54.5,Western,65.9,48.9,49.0,378.0,0.392102846648
15,North Carolina,Athens Drive High,1420 ATHENS DRIVE,RALEIGH,27606,1,0,0,1,1,35.768700,-78.711273,9th Grade,12th Grade,1,1,1,1,1884,1884,15.76,53.5,North Central,64.0,60.9,87.0,622.0,0.376326963907
16,North Carolina,Atkins Academic & Tech High,3605 OLD GREENSBORO ROAD,WINSTON-SALEM,27101,1,1,0,1,4,36.108034,-80.195887,9th Grade,12th Grade,1,1,1,1,603,603,15.01,79.1,Piedmont-Triad,84.4,79.8,38.0,154.0,0.318407960199
17,North Carolina,Avery High STEM Academy,401 AVERY COUNTY HIGH SCHOOL R,NEWLAND,28657,1,0,0,1,4,36.067608,-81.919724,9th Grade,12th Grade,1,1,1,1,174,174,21.75,80.7,Northwest,71.4,78.0,10.0,71.0,0.465517241379
18,North Carolina,Ayden-Grifton High,7653 NC 11 SOUTH,AYDEN,28513,1,0,0,1,4,35.430252,-77.431952,9th Grade,12th Grade,1,1,1,1,689,689,15.99,25.0,Northeast,38.3,35.1,48.0,339.0,0.561683599419
19,North Carolina,Bandys High,5040 E BANDYS ROAD,CATAWBA,28609,1,0,0,0,6,35.645263,-81.084386,9th Grade,12th Grade,1,1,1,1,872,872,17.07,61.7,Northwest,65.6,66.7,56.0,236.0,0.334862385321
20,North Carolina,Bartlett Yancey High,466 MAIN STREET E,YANCEYVILLE,27379,1,0,0,1,4,36.403341,-79.327640,9th Grade,12th Grade,1,1,1,1,814,814,15.53,33.7,Piedmont-Triad,44.2,29.6,81.0,387.0,0.574938574939
22,North Carolina,Beaufort Co Early College High,5337 HWY 264 EAST,WASHINGTON,27889,1,0,0,1,4,35.532287,-76.966934,9th Grade,13th Grade,1,1,1,1,227,193,37.83,87.5,Northeast,95.0,93.8,17.0,83.0,0.440528634361
23,North Carolina,Beddingfield High,4510 OLD STANTONSBURG RD,WILSON,27893,1,0,0,1,4,35.659240,-77.876371,9th Grade,12th Grade,1,1,1,1,868,868,15.03,29.0,North Central,36.2,32.6,62.0,568.0,0.725806451613
24,North Carolina,Ben L. Smith High School,2407 SOUTH HOLDEN ROAD,GREENSBORO,27407,1,0,0,1,5,36.034740,-79.847350,9th Grade,12th Grade,1,1,1,1,1296,1296,15.19,34.5,Piedmont-Triad,27.3,30.9,0.0,1283.0,0.989969135802
25,North Carolina,Bertie Early College High,819 GOVERNORS ROAD,WINDSOR,27983,1,0,0,1,5,36.034085,-77.013154,9th Grade,13th Grade,1,1,1,1,165,153,18.33,76.8,Northeast,73.7,79.5,0.0,162.0,0.981818181818
26,North Carolina,Bertie High,716 US HWY 13 NORTH,WINDSOR,27983,1,0,0,1,5,36.050399,-76.972151,9th Grade,12th Grade,1,1,1,1,485,485,12.65,18.0,Northeast,22.6,23.5,0.0,479.0,0.987628865979
27,North Carolina,Bertie STEM High,716 US 13 NORTH,WINDSOR,27983,1,0,0,1,5,36.050399,-76.972151,9th Grade,12th Grade,1,1,1,1,132,132,15.10,87.1,Northeast,75.0,73.1,0.0,0.0,0.0
28,North Carolina,Bessemer City High,119 YELLOW JACKET LANE,BESSEMER CITY,28016,1,0,0,1,4,35.297240,-81.281434,9th Grade,12th Grade,1,1,1,1,646,646,15.52,45.0,Southwest,46.6,26.5,48.0,348.0,0.613003095975
29,North Carolina,Blue Ridge Early College,95 BOBCAT DR,CASHIERS,28717,1,0,0,1,4,35.128613,-83.120512,7th Grade,13th Grade,1,1,1,1,177,113,16.43,37.5,Western,52.6,18.2,16.0,94.0,0.621468926554
30,North Carolina,Brevard High,609 COUNTRY CLUB RD,BREVARD,28712,1,0,0,1,4,35.217205,-82.735576,9th Grade,12th Grade,1,1,1,1,725,725,13.14,62.9,Western,69.2,54.0,45.0,244.0,0.398620689655
31,North Carolina,Brunswick County Early College,50 COLLEGE ROAD NE,BOLIVIA,28422,1,0,0,1,4,34.038129,-78.229837,9th Grade,13th Grade,1,1,1,1,341,270,28.68,87.5,Southeast,95.0,94.7,27.0,98.0,0.366568914956
33,North Carolina,Bunker Hill High,4675 OXFORD SCHOOL ROAD,CLAREMONT,28610,1,0,0,1,4,35.742030,-81.111320,9th Grade,12th Grade,1,1,1,1,936,936,16.28,49.4,Northwest,54.5,37.8,89.0,418.0,0.541666666667
34,North Carolina,Bunn High,29 BUNN ELEM SCHOOL ROAD,BUNN,27508,1,0,0,1,1,35.954127,-78.249753,9th Grade,12th Grade,1,1,1,1,861,861,15.80,38.2,North Central,45.7,57.3,53.0,367.0,0.487804878049
35,North Carolina,Burns High,307 E STAGECOACH TRAIL,LAWNDALE,28090,1,0,0,1,4,35.420092,-81.532265,9th Grade,12th Grade,1,1,1,1,1084,1084,14.03,43.0,Southwest,55.2,51.3,77.0,523.0,0.553505535055
36,North Carolina,Butler High,1810 MATTHEWS-MINT HILL RD,MATTHEWS,28105,1,0,0,1,4,35.120282,-80.691593,9th Grade,12th Grade,1,1,1,1,2081,2081,19.46,73.9,Southwest,71.4,63.7,51.0,174.0,0.108121095627
37,North Carolina,C E Jordan High,6806 GARRETT ROAD,DURHAM,27707,1,0,0,1,1,35.922669,-78.962157,9th Grade,12th Grade,1,1,1,1,1848,1848,17.18,56.0,North Central,60.7,37.8,85.0,679.0,0.41341991342
38,North Carolina,Cabarrus-Kannapolis Early Coll,1531 TRINITY CHURCH RD,CONCORD,28027,1,0,0,1,4,35.436630,-80.659001,9th Grade,13th Grade,1,1,1,1,232,227,27.62,84.7,Southwest,90.0,78.3,14.0,83.0,0.418103448276
39,North Carolina,Caldwell Career Cen Mid. Coll.,2857 HICKORY BOULEVARD,HUDSON,28638,1,0,0,1,1,35.855556,-81.485220,9th Grade,12th Grade,1,1,1,1,240,240,12.94,58.1,Northwest,86.7,82.3,29.0,69.0,0.408333333333
40,North Carolina,Caldwell Early College,2859 HICKORY BLVD SW,HUDSON,28638,1,0,0,0,6,35.853817,-81.483806,9th Grade,13th Grade,1,1,1,1,385,325,21.39,80.2,Northwest,86.4,95.0,45.0,105.0,0.38961038961
41,North Carolina,Camden County High,103 US 158 W,CAMDEN,27921,1,0,0,0,6,36.326910,-76.171991,9th Grade,12th Grade,1,1,1,1,460,460,14.18,60.5,Northeast,76.0,62.0,26.0,92.0,0.25652173913
43,North Carolina,Cape Fear High,4762 CLINTON ROAD,FAYETTEVILLE,28301,1,0,0,1,4,35.034044,-78.762384,9th Grade,12th Grade,1,1,1,1,1535,1535,16.38,53.7,Sandhills,60.4,60.4,115.0,562.0,0.441042345277
44,North Carolina,Cape Hatteras Secondary School,48576  HIGHWAY 12,BUXTON,27920,1,0,0,1,4,35.269310,-75.534300,6th Grade,12th Grade,1,1,1,1,303,167,10.38,63.0,Northeast,67.4,60.0,33.0,126.0,0.524752475248
45,North Carolina,Career Academy and Technical School,350 OLD MURDOCK RD,TROUTMAN,28166,1,0,0,0,6,35.714190,-80.887581,9th Grade,12th Grade,1,1,1,1,50,50,5.39,33.3,Southwest,88.9,40.0,0.0,3.0,0.06
46,North Carolina,Carolina International School,9545 POPLAR TENT ROAD,CONCORD,28027,1,0,1,0,6,35.411570,-80.737721,Kindergarten,11th Grade,0,1,1,1,700,69,15.98,42.1,Southwest,70.8,30.8,98.0,72.0,0.242857142857
47,North Carolina,Carrboro High,201 ROCK HAVEN RD,CARRBORO,27510,1,0,0,0,6,35.891723,-79.085455,9th Grade,12th Grade,1,1,1,1,825,825,14.51,73.1,North Central,88.6,77.6,24.0,123.0,0.178181818182
48,North Carolina,Carson High,290 KRESS VENTURE DR,CHINA GROVE,28023,1,0,0,1,4,35.563039,-80.545691,9th Grade,12th Grade,1,1,1,1,1231,1231,17.31,60.6,Southwest,55.9,44.2,82.0,414.0,0.402924451665
49,North Carolina,Carter G Woodson School,437 GOLDFLOSS STREET,WINSTON-SALEM,27127,1,0,1,1,5,36.067380,-80.231160,Kindergarten,12th Grade,1,1,1,1,438,88,223.47,18.2,Piedmont-Triad,50.0,22.7,7.0,382.0,0.888127853881
50,North Carolina,Carver High,3545 CARVER SCHOOL ROAD,WINSTON SALEM,27105,1,0,0,1,5,36.134288,-80.206554,9th Grade,12th Grade,1,1,1,1,648,648,13.60,12.9,Piedmont-Triad,23.1,25.4,0.0,645.0,0.99537037037
51,North Carolina,Cary High,638 WALNUT ST,CARY,27511,1,0,0,1,1,35.771138,-78.766330,9th Grade,12th Grade,1,1,1,1,2396,2396,17.68,72.3,North Central,69.3,64.4,133.0,625.0,0.316360601002
52,North Carolina,CCCA - Fair Bluff /Southeastern Campuses,4564 CHADBOURN HWY,WHITEVILLE,28472,1,0,0,1,4,34.331954,-78.782393,9th Grade,13th Grade,1,1,1,1,278,260,26.05,54.9,Sandhills,66.7,41.1,16.0,119.0,0.485611510791
53,North Carolina,Cedar Ridge High,1125 NEW GRADY BROWN SCH RD,HILLSBOROUGH,27278,1,0,0,0,6,36.054083,-79.126208,9th Grade,12th Grade,1,1,1,1,1163,1163,15.71,48.6,North Central,72.9,50.3,0.0,35.0,0.0300945829751
55,North Carolina,Central Cabarrus High,505 HWY 49 S,CONCORD,28025,1,0,0,1,4,35.362718,-80.583852,9th Grade,12th Grade,1,1,1,1,1416,1416,15.99,54.1,Southwest,58.3,49.1,104.0,581.0,0.483757062147
56,North Carolina,Central Davidson High,2747 NC HWY 47,LEXINGTON,27292,1,0,0,1,4,35.739502,-80.223108,9th Grade,12th Grade,1,1,1,1,969,969,17.53,45.7,Piedmont-Triad,57.4,44.3,65.0,396.0,0.475748194014
57,North Carolina,Challenger Early College High,2550 HWY 70 SE,HICKORY,28602,1,0,0,1,4,35.699458,-81.288100,9th Grade,13th Grade,1,1,1,1,368,365,26.29,95.0,Northwest,89.5,95.0,43.0,124.0,0.453804347826
58,North Carolina,Chapel Hill High,1709 HIGH SCHOOL RD,CHAPEL HILL,27516,1,0,0,0,6,35.946507,-79.080289,9th Grade,12th Grade,1,1,1,1,1439,1439,15.74,74.2,North Central,82.0,74.7,32.0,270.0,0.209867963864
59,North Carolina,Charles B Aycock High,5460 US 117 NORTH,PIKEVILLE,27863,1,0,0,1,1,35.509148,-77.980071,9th Grade,12th Grade,1,1,1,1,1267,1267,17.85,60.3,Southeast,58.0,48.8,60.0,430.0,0.386740331492
60,North Carolina,Charlotte Learning Academy,701 SCALEYBARK RD.,CHARLOTTE,28209,1,0,1,1,5,35.181580,-80.864521,6th Grade,10th Grade,0,0,1,1,146,40,14.60,30.8,Southwest,50.0,8.0,73.0,16.0,0.609589041096
61,North Carolina,Charlotte Secondary,8601 MCALPINE PARK DR,CHARLOTTE,28211,1,0,1,1,3,35.151970,-80.748591,6th Grade,11th Grade,0,1,1,1,425,164,11.81,41.1,Southwest,65.5,47.7,28.0,38.0,0.155294117647
62,North Carolina,Chase High School,1603 CHASE HIGH ROAD,FOREST CITY,28043,1,0,0,1,4,35.251360,-81.843411,9th Grade,12th Grade,1,1,1,1,812,812,16.40,57.6,Western,55.0,36.8,0.0,802.0,0.987684729064
63,North Carolina,Chatham Central High,14950 NC HWY 902 W,BEAR CREEK,27207,1,0,0,0,6,35.615120,-79.390631,9th Grade,12th Grade,1,1,1,1,404,404,14.16,62.2,North Central,69.0,59.4,21.0,123.0,0.356435643564
64,North Carolina,Chatham Charter,2200 HAMP STONE ROAD,SILER CITY,27344,1,0,1,0,6,35.742493,-79.479562,Kindergarten,11th Grade,0,1,1,1,497,134,14.97,80.0,North Central,83.3,70.0,35.0,30.0,0.130784708249
65,North Carolina,Cherryville High,313 RIDGE AVENUE,CHERRYVILLE,28021,1,0,0,1,1,35.389682,-81.379896,9th Grade,12th Grade,1,1,1,1,554,554,14.37,65.1,Southwest,60.2,44.1,54.0,229.0,0.51083032491
66,North Carolina,City of Medicine Academy,301 CRUTCHFIELD ROAD,DURHAM,27704,1,0,0,1,4,36.038838,-78.902553,9th Grade,12th Grade,1,1,1,1,321,321,13.66,71.5,North Central,78.1,70.5,22.0,143.0,0.514018691589
67,North Carolina,Clayton High,600 S FAYETTEVILLE ST,CLAYTON,27520,1,0,0,0,6,35.650024,-78.466420,9th Grade,12th Grade,1,1,1,1,1512,1512,17.69,50.8,North Central,63.9,58.2,11.0,65.0,0.0502645502646
68,North Carolina,Cleveland ECHS,1800 E. MARION STREET,SHELBY,28152,1,0,0,1,4,35.277570,-81.490361,9th Grade,13th Grade,1,1,1,1,223,205,32.94,81.6,Southwest,88.9,74.1,29.0,103.0,0.591928251121
69,North Carolina,Cleveland High,1892 POLENTA RD,CLAYTON,27520,1,0,0,0,6,35.551507,-78.500107,9th Grade,12th Grade,1,1,1,1,1468,1468,18.26,69.6,North Central,70.9,74.6,73.0,327.0,0.272479564033
70,North Carolina,Clinton High,340 INDIAN TOWN ROAD,CLINTON,28328,1,0,0,1,4,34.973848,-78.329093,9th Grade,12th Grade,1,1,1,1,848,848,15.99,48.0,Sandhills,56.0,43.4,57.0,455.0,0.603773584906
71,North Carolina,Clover Garden,2454 ALTAMHAW UNION RIDGE ROAD,BURLINGTON,27217,1,0,1,1,2,36.187017,-79.471089,Kindergarten,12th Grade,1,1,1,1,607,148,17.97,70.0,Piedmont-Triad,64.1,71.4,64.0,131.0,0.321252059308
72,North Carolina,Cochrane Collegiate Academy,6200 STARHAVEN DR,CHARLOTTE,28215,1,0,0,1,5,35.246492,-80.750138,6th Grade,12th Grade,1,1,1,1,702,172,14.51,39.4,Southwest,54.5,70.7,3.0,696.0,0.995726495726
73,North Carolina,Collaborative College for Technology,500 WEST BROAD STREET,STATESVILLE,28677,1,0,0,1,1,35.783453,-80.893121,9th Grade,13th Grade,1,1,1,1,240,201,25.32,92.8,Southwest,95.0,84.9,20.0,60.0,0.333333333333
74,North Carolina,Columbia High,902 MAIN ST,COLUMBIA,27925,1,0,0,1,4,35.919076,-76.245535,9th Grade,13th Grade,1,1,1,1,167,158,9.86,66.7,Northeast,67.4,35.0,15.0,85.0,0.59880239521
75,North Carolina,Community School of Davidson,404 ARMOUR STREET,DAVIDSON,28036,1,0,1,0,6,35.508080,-80.849741,Kindergarten,12th Grade,1,1,1,1,1327,472,14.61,90.1,Southwest,91.4,74.0,42.0,28.0,0.0527505651846
76,North Carolina,Concord High,481 BURRAGE ROAD NE,CONCORD,28025,1,0,0,1,4,35.433650,-80.582182,9th Grade,12th Grade,1,1,1,1,1252,1252,15.82,48.3,Southwest,52.5,40.4,168.0,578.0,0.595846645367
77,North Carolina,Corinth Holders High,6875 APPLEWHITE RD,WENDELL,27591,1,0,0,0,6,35.724760,-78.337811,9th Grade,12th Grade,1,1,1,1,1679,1679,18.40,66.1,North Central,75.7,66.0,41.0,364.0,0.241215008934
78,North Carolina,Cox Mill High School,1355 COX MILL RD,CONCORD,28027,1,0,0,0,6,35.395070,-80.728611,9th Grade,12th Grade,1,1,1,1,1478,1478,19.23,70.3,Southwest,76.0,66.3,51.0,217.0,0.181326116373
79,North Carolina,Craven Early College High,800 COLLEGE COURT,NEW BERN,28562,1,0,0,1,4,35.111602,-77.102325,9th Grade,13th Grade,1,1,1,1,205,178,16.24,71.7,Southeast,80.0,67.3,6.0,61.0,0.326829268293
80,North Carolina,Crest High,800 OLD BOILING SPRINGS,SHELBY,28152,1,0,0,1,4,35.271571,-81.609854,9th Grade,12th Grade,1,1,1,1,1260,1260,15.01,50.5,Southwest,58.3,52.5,73.0,524.0,0.47380952381
81,North Carolina,Creswell High,115 WEST MIDDLE STREET,CRESWELL,27928,1,0,0,1,5,35.868941,-76.395907,7th Grade,12th Grade,1,1,1,1,155,100,9.69,41.2,Northeast,43.8,45.0,0.0,152.0,0.98064516129
82,North Carolina,Croatan High,1 COUGAR LANE,NEWPORT,28570,1,0,0,0,6,34.748000,-76.895490,9th Grade,12th Grade,1,1,1,1,904,904,15.69,81.4,Southeast,84.5,81.4,50.0,168.0,0.241150442478
83,North Carolina,Cross Creek Early College,1200 MURCHISON ROAD,FAYETTEVILLE,28301,1,0,0,1,4,35.070959,-78.893585,9th Grade,12th Grade,1,1,1,1,247,247,16.47,83.3,Sandhills,84.3,83.1,27.0,105.0,0.534412955466
84,North Carolina,Williams Academy,129 ALLEN CIRCLE,CROSSNORE,28616,1,0,1,1,5,36.021600,-81.929700,Kindergarten,12th Grade,1,1,1,1,104,43,6.94,23.1,Northwest,50.0,5.0,3.0,85.0,0.846153846154
86,North Carolina,CS Brown High,102 CSB DR,WINTON,27986,1,0,0,1,5,36.387550,-76.933100,9th Grade,12th Grade,1,1,1,1,43,43,7.17,94.1,Northeast,63.2,39.1,0.0,40.0,0.93023255814
87,North Carolina,Cumberland International Early CollegeHS,1200 MURCHISON RD,FAYETTEVILLE,28303,1,0,0,1,4,35.071595,-78.894515,9th Grade,12th Grade,1,1,1,1,234,234,18.00,82.8,Sandhills,92.2,87.0,24.0,110.0,0.57264957265
88,North Carolina,Currituck County High,4203 CARATOKE HWY,BARCO,27917,1,0,0,0,6,36.372527,-75.969111,9th Grade,12th Grade,1,1,1,1,972,972,14.62,44.7,Northeast,46.2,47.1,59.0,233.0,0.300411522634
89,North Carolina,Cuthbertson High,1400 CUTHBERTSON RD,WAXHAW,28173,1,0,0,0,6,34.975950,-80.740031,9th Grade,12th Grade,1,1,1,1,1449,1449,20.81,81.2,Southwest,88.5,88.8,35.0,112.0,0.101449275362
90,North Carolina,D H Conley High,2006 WORTHINGTON RD,GREENVILLE,27858,1,0,0,0,6,35.530585,-77.324777,9th Grade,12th Grade,1,1,1,1,1644,1644,18.46,59.0,Northeast,60.0,60.9,65.0,472.0,0.326642335766
91,North Carolina,Dalton McMichael High,6845 HWY 135,MAYODAN,27027,1,0,0,1,4,36.417552,-79.942671,9th Grade,12th Grade,1,1,1,1,985,985,17.74,45.5,Piedmont-Triad,56.7,56.4,0.0,969.0,0.983756345178
92,North Carolina,Davidson Early College,297 DCCC ROAD,LEXINGTON,27295,1,0,0,1,4,35.868790,-80.296620,9th Grade,13th Grade,1,1,1,1,107,107,24.43,70.0,Piedmont-Triad,95.0,94.7,11.0,45.0,0.523364485981
93,North Carolina,Davie County Early College High,1211 SALISBURY ROAD,MOCKSVILLE,27028,1,0,0,1,4,35.870882,-80.555530,9th Grade,13th Grade,1,1,1,1,156,153,26.00,91.8,Piedmont-Triad,92.3,95.0,11.0,41.0,0.333333333333
94,North Carolina,Davie County High,1200 SALISBURY ROAD,MOCKSVILLE,27028,1,0,0,1,4,35.873036,-80.552196,9th Grade,12th Grade,1,1,1,1,1799,1799,16.89,60.6,Piedmont-Triad,68.3,50.6,108.0,517.0,0.347415230684
95,North Carolina,Discovery High School,301 WEST 18TH ST,NEWTON,28658,1,0,0,1,4,35.679590,-81.222361,9th Grade,12th Grade,1,1,1,1,224,176,16.91,71.4,Northwest,89.1,80.0,3.0,33.0,0.160714285714
96,North Carolina,Dixon High,160 DIXON SCHOOL RD,HOLLY RIDGE,28445,1,0,0,0,6,34.587976,-77.478352,9th Grade,12th Grade,1,1,1,1,835,835,17.40,63.8,Southeast,49.5,49.6,31.0,110.0,0.168862275449
97,North Carolina,Douglas Byrd High,1624 IRELAND DRIVE,FAYETTEVILLE,28304,1,0,0,1,5,35.030827,-78.948512,9th Grade,12th Grade,1,1,1,1,1189,1189,14.09,31.8,Sandhills,42.7,26.7,85.0,815.0,0.756938603869
98,North Carolina,Duplin Early College High,212 JAMES SPRUNT DR,KENANSVILLE,28349,1,0,0,1,4,34.946531,-77.978821,9th Grade,13th Grade,1,1,1,1,180,154,25.71,54.1,Southeast,55.6,75.0,15.0,109.0,0.688888888889
99,North Carolina,Durham School of the Arts,401 NORTH DUKE STREET,DURHAM,27701,1,1,0,1,1,36.003058,-78.906780,6th Grade,12th Grade,1,1,1,1,1650,1008,15.59,76.1,North Central,84.6,71.2,97.0,539.0,0.385454545455
101,North Carolina,E E Smith High,1800 SEABROOK ROAD,FAYETTEVILLE,28301,1,0,0,1,4,35.084083,-78.895641,9th Grade,12th Grade,1,1,1,1,1064,1064,15.03,56.3,Sandhills,45.6,38.0,94.0,662.0,0.710526315789
